scenario,delta_t,region_group,min,mean,max
A,0,USA,58.91585168038815,59.68759295603559,61.04542120408515
A,1,USA,57.37300867078518,58.60022832947685,59.55646472679097
A,2,USA,57.92090170225853,58.771022307426456,59.78739706222429
A,3,USA,55.35994265053795,57.88347433941491,58.60373962174018
A,4,USA,54.417625713659476,56.485815079794506,58.360449997206366
A,0,EXPORT:50,75.85945816574382,76.63426642480057,77.15978180176522
A,1,EXPORT:50,74.63789524686585,75.54593532790301,76.86567134652302
A,2,EXPORT:50,74.93057441253362,75.76208678809788,76.68044787956816
A,3,EXPORT:50,71.95407389773052,74.41236239597391,75.26003208479936
A,4,EXPORT:50,71.44030687026498,73.7485673772995,75.62543511278172
A,0,EXPORT:75,87.81135473154889,88.54082814555137,89.35780423740309
A,1,EXPORT:75,87.57740890222513,88.31115872400788,89.19558052076697
A,2,EXPORT:75,87.77865287879786,88.25425766487706,88.76243742856548
A,3,EXPORT:75,87.5075298343132,87.95795556052457,88.54250714573935
A,4,EXPORT:75,87.35752675795403,87.93809139083146,88.37562316416025
A,0,EXPORT:95,97.22826306666016,97.41226562155458,97.60441541413061
A,1,EXPORT:95,96.97994562046776,97.33466050005177,97.68941003211845
A,2,EXPORT:95,97.10533203964634,97.30358013974016,97.62028090246916
A,3,EXPORT:95,97.17539815491766,97.35166990191108,97.56499019259411
A,4,EXPORT:95,97.17947900216618,97.31102583578375,97.46477381308273
B,0,USA,58.91585168038815,59.68759295603559,61.04542120408515
B,1,USA,57.819101267402,58.7702884383243,59.329626319718265
B,2,USA,56.693788308486816,57.79640835968891,58.64674636502995
B,3,USA,54.13724078852671,56.06004304002537,56.8937178388477
B,4,USA,53.209048918746994,54.90079036955838,56.71480001827881
B,0,EXPORT:50,75.85945816574382,76.63426642480057,77.15978180176522
B,1,EXPORT:50,74.63561518236764,75.80170278200048,77.1705734214265
B,2,EXPORT:50,74.03676452236031,74.96433208310197,76.43960465554574
B,3,EXPORT:50,72.20440305799455,73.64087294992902,74.89760124172398
B,4,EXPORT:50,70.29016064360846,73.12238114093198,74.65476493797489
B,0,EXPORT:75,87.81135473154889,88.54082814555137,89.35780423740309
B,1,EXPORT:75,87.85890540488501,88.46495837177224,89.11747417381498
B,2,EXPORT:75,87.52609800923923,87.8933681001757,88.5121839717348
B,3,EXPORT:75,86.94421137794917,87.7634966207534,88.48582320939697
B,4,EXPORT:75,86.96737575908105,87.74845590569258,88.86262954478687
B,0,EXPORT:95,97.22826306666016,97.41226562155458,97.60441541413061
B,1,EXPORT:95,97.24072819511032,97.37778245286773,97.56143478441976
B,2,EXPORT:95,96.95022561283763,97.19829246871035,97.54447227996893
B,3,EXPORT:95,96.96094019517297,97.27194926073727,97.562287367827
B,4,EXPORT:95,96.95669453371309,97.22477561047667,97.60181904187338
C,0,USA,58.91585168038815,59.68759295603559,61.04542120408515
C,1,USA,56.554976530699705,58.265943588565136,59.311073295865704
C,2,USA,56.102093143620266,57.267108946902695,58.800134885908214
C,3,USA,51.3483777481144,54.85408061763927,55.94652863637906
C,4,USA,49.60881534661476,52.60814478280926,54.04916542840713
C,0,EXPORT:50,75.85945816574382,76.63426642480057,77.15978180176522
C,1,EXPORT:50,74.51626293268302,75.38932745946678,76.721035718136
C,2,EXPORT:50,74.0741147097775,75.00889392934563,75.68070291453319
C,3,EXPORT:50,68.50080797393316,72.58687906320002,74.12877675410243
C,4,EXPORT:50,67.87958812216756,71.08059273718408,72.45673747221882
C,0,EXPORT:75,87.81135473154889,88.54082814555137,89.35780423740309
C,1,EXPORT:75,87.8781740016002,88.20697354735236,88.57847100008884
C,2,EXPORT:75,87.18751780945428,87.9769697333854,88.68651845505482
C,3,EXPORT:75,87.18739237318836,87.85904372349307,89.0908033319773
C,4,EXPORT:75,86.69615022558915,87.79709831376934,88.89245355665551
C,0,EXPORT:95,97.22826306666016,97.41226562155458,97.60441541413061
C,1,EXPORT:95,97.08159475222423,97.35044390640155,97.53726783542467
C,2,EXPORT:95,97.0322861735554,97.33341354542536,97.54247080815888
C,3,EXPORT:95,96.57259215941824,97.26401578714638,97.71670844408288
C,4,EXPORT:95,96.97933898563062,97.30677311439261,97.63600191768492
