latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
27.83302,-97.06128,27.83302,-97.06128,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kurt Kraske,Don Hampton,TXARA20577,Port Aransas High School Grounds,,,TX,Aransas County,,No,27.83302,-97.06128,20748,Gulf of Mexico,20577,180,2,2,Debris line on chain link fence near front parking lot of high school building. lat 27.83302 long -97.06128,9/3/2017 5:00:00 AM,9.727,2,6,N/A,7607,4,3.85,1,5162,HWM shot directly. Elevation is final,Coastal,9/2/2017 5:00:00 AM,1,2,1763,871,0.190289,0.1,0902_1130_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.83246,-97.0619,27.83246,-97.0619,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Kristine Blickenstaff,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20577,Port Aransas High School Grounds,,,TX,Aransas County,,No,27.83302,-97.06128,20749,Gulf of Mexico,20577,180,2,2,"Debris line on chain link fence near front parking lot of high school building, South West of first point. lat 27.83246 long -97.06190",9/3/2017 5:00:00 AM,10.285,2,6,N/A,10039,4,4.5,1,5162,HWM shot directly. No adjustments needed to elevation,Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.190289,0.1,0902_1130_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.83179,-97.0616,27.83179,-97.0616,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20577,Port Aransas High School Grounds,,,TX,Aransas County,,No,27.83302,-97.06128,20750,Gulf of Mexico,20577,180,2,2,"Behind school on chain link fence near playground
lat 27.83179 long -97.06160",9/3/2017 5:00:00 AM,9.667,2,6,N/A,7608,4,3.75,1,5162,"HWM shot directly, no further adjustments",Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.190289,0.1,0902_1130_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.82047,-97.0723,27.82047,-97.0723,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXNUE20578,Electric substation off Highway 361 near Port Aransas,,,TX,Nueces County,,No,27.82047,-97.0723,20751,Gulf of Mexico,20578,180,2,2,South west corner of electric sub station by gate entrance,9/3/2017 5:00:00 AM,11.366,2,6,N/A,7624,4,6,1,5164,"HWM shot directly, elevation is final",Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.190289,0.1,0902_1300_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.82081,-97.07204,27.82081,-97.07204,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXNUE20578,Electric substation off Highway 361 near Port Aransas,,,TX,Nueces County,,No,27.82047,-97.0723,20752,Gulf of Mexico,20578,180,2,2,"Lat: 27.82081 Long: 097.07204
North west corner of electric sub station",9/3/2017 5:00:00 AM,11.712,2,6,N/A,7625,4,6.17,1,5164,"HWM shot directly, elevation is final",Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.190289,0.1,0902_1300_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.82041,-97.07223,27.82041,-97.07223,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXNUE20578,Electric substation off Highway 361 near Port Aransas,,,TX,Nueces County,,No,27.82047,-97.0723,20753,Gulf of Mexico,20578,180,2,2,"lat 27.82041 long -97.07223, southeast corner of electric 
substation",9/3/2017 5:00:00 AM,12.022,2,6,N/A,7626,4,6.42,1,5164,"HWM shot directly, elevation final",Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.190289,0.1,0902_1300_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.80834,-97.08537,27.80834,-97.08537,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Dan Kobzar,TXNUE20579,Communication tower near small airport and Island Moorings Marina on Piper Blvd,,,TX,Nueces County,,No,27.80834,-97.08537,20754,Gulf of Mexico,20579,180,2,2,Southwest corner of Communication tower near airport,9/3/2017 5:00:00 AM,9.914,2,2,N/A,7793,4,4.38,1,5254,"Elevation is final, no future adjustments needed.",Coastal,9/2/2017 5:00:00 AM,1,2,1760,1744,0.24,,0902_1345_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.80832,-97.08526,27.80832,-97.08526,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Dan Kobzar,TXNUE20579,Communication tower near small airport and Island Moorings Marina on Piper Blvd,,,TX,Nueces County,,No,27.80834,-97.08537,20755,Gulf of Mexico,20579,180,2,2,Southeast corner of communication tower near airport,9/3/2017 5:00:00 AM,9.931,2,2,N/A,7794,4,4.75,1,5254,"Elevation is final, no future correction is required.",Coastal,9/2/2017 5:00:00 AM,1,2,1760,1744,0.24,,0902_1345_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.80832,-97.08537,27.80832,-97.08537,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Dan Kobzar,TXNUE20579,Communication tower near small airport and Island Moorings Marina on Piper Blvd,,,TX,Nueces County,,No,27.80834,-97.08537,20756,Gulf of Mexico,20579,180,2,2,"About 500 ft northwest of
HWM 0902_1345_1 on entrance door to marina",9/3/2017 5:00:00 AM,8.906,2,6,N/A,7795,4,5.08,1,5254,"Elevation is final, no future adjustments necessary.",Coastal,9/2/2017 5:00:00 AM,1,2,1760,1744,0.24,,0902_1345_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.78449,-97.10062,27.78449,-97.10062,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Dan Kobzar,TXNUE20580,Chain link fence to generator station on south side of Highway 361,,,TX,Nueces County,,No,27.78449,-97.10062,20757,Gulf of Mexico,20580,180,2,2,lat 27.78449 long -97.10062 on northwest corner of chain link fence near generator,9/3/2017 5:00:00 AM,9.805,2,6,N/A,7663,4,4.25,1,5181,Elevation is final. No further adjustments necessary.,Coastal,9/2/2017 5:00:00 AM,1,2,1760,1744,0.24,0.1,0902_1445_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
