DATE,TXICLAIMS
1986-02-01,22574
1986-02-08,19638
1986-02-15,19819
1986-02-22,16404
1986-03-01,20129
1986-03-08,20292
1986-03-15,20395
1986-03-22,20286
1986-03-29,19945
1986-04-05,21189
1986-04-12,23558
1986-04-19,22023
1986-04-26,19051
1986-05-03,21091
1986-05-10,21851
1986-05-17,19106
1986-05-24,20386
1986-05-31,15409
1986-06-07,20577
1986-06-14,19206
1986-06-21,18876
1986-06-28,19220
1986-07-05,18829
1986-07-12,21523
1986-07-19,20243
1986-07-26,18719
1986-08-02,19096
1986-08-09,20362
1986-08-16,19656
1986-08-23,19137
1986-08-30,17780
1986-09-06,16817
1986-09-13,22886
1986-09-20,20139
1986-09-27,20422
1986-10-04,20998
1986-10-11,22144
1986-10-18,21537
1986-10-25,21203
1986-11-01,20246
1986-11-08,20720
1986-11-15,17562
1986-11-22,22964
1986-11-29,15751
1986-12-06,21918
1986-12-13,21855
1986-12-20,20353
1986-12-27,16523
1987-01-03,14289
1987-01-10,27361
1987-01-17,24948
1987-01-24,22378
1987-01-31,20918
1987-02-07,22219
1987-02-14,20251
1987-02-21,16532
1987-02-28,21032
1987-03-07,19841
1987-03-14,18433
1987-03-21,18973
1987-03-28,16604
1987-04-04,17786
1987-04-11,17607
1987-04-18,16211
1987-04-25,14790
1987-05-02,18319
1987-05-09,16013
1987-05-16,16881
1987-05-23,16423
1987-05-30,12980
1987-06-06,17079
1987-06-13,16546
1987-06-20,15665
1987-06-27,14460
1987-07-04,17071
1987-07-11,16240
1987-07-18,15035
1987-07-25,14917
1987-08-01,13795
1987-08-08,15043
1987-08-15,14350
1987-08-22,14932
1987-08-29,13456
1987-09-05,14238
1987-09-12,11555
1987-09-19,14945
1987-09-26,14211
1987-10-03,14782
1987-10-10,19150
1987-10-17,14921
1987-10-24,14782
1987-10-31,15412
1987-11-07,15335
1987-11-14,13748
1987-11-21,18982
1987-11-28,11566
1987-12-05,17941
1987-12-12,16945
1987-12-19,15226
1987-12-26,12411
1988-01-02,15434
1988-01-09,18091
1988-01-16,20619
1988-01-23,18791
1988-01-30,17233
1988-02-06,.
1988-02-13,16818
1988-02-20,13486
1988-02-27,16830
1988-03-05,14801
1988-03-12,15755
1988-03-19,14355
1988-03-26,13407
1988-04-02,11977
1988-04-09,14437
1988-04-16,13644
1988-04-23,13066
1988-04-30,12471
1988-05-07,13535
1988-05-14,12832
1988-05-21,12826
1988-05-28,13382
1988-06-04,10512
1988-06-11,13816
1988-06-18,12968
1988-06-25,12483
1988-07-02,13821
1988-07-09,12789
1988-07-16,15980
1988-07-23,14149
1988-07-30,13451
1988-08-06,13449
1988-08-13,13395
1988-08-20,12552
1988-08-27,13354
1988-09-03,13185
1988-09-10,12331
1988-09-17,14421
1988-09-24,12741
1988-10-01,12983
1988-10-08,14474
1988-10-15,14448
1988-10-22,14405
1988-10-29,14175
1988-11-05,14867
1988-11-12,12777
1988-11-19,17058
1988-11-26,10798
1988-12-03,16868
1988-12-10,16072
1988-12-17,14087
1988-12-24,16871
1988-12-31,10713
1989-01-07,15112
1989-01-14,19089
1989-01-21,16064
1989-01-28,16287
1989-02-04,15416
1989-02-11,14069
1989-02-18,15130
1989-02-25,12255
1989-03-04,13996
1989-03-11,13393
1989-03-18,12927
1989-03-25,11966
1989-04-01,10630
1989-04-08,13145
1989-04-15,13066
1989-04-22,12403
1989-04-29,11419
1989-05-06,9421
1989-05-13,13898
1989-05-20,11824
1989-05-27,11703
1989-06-03,10498
1989-06-10,13329
1989-06-17,12965
1989-06-24,12532
1989-07-01,12206
1989-07-08,10425
1989-07-15,16031
1989-07-22,14896
1989-07-29,13705
1989-08-05,12575
1989-08-12,13178
1989-08-19,12463
1989-08-26,12164
1989-09-02,12900
1989-09-09,11035
1989-09-16,15253
1989-09-23,14172
1989-09-30,12643
1989-10-07,14274
1989-10-14,14139
1989-10-21,15819
1989-10-28,15154
1989-11-04,14172
1989-11-11,14887
1989-11-18,15604
1989-11-25,15351
1989-12-02,15356
1989-12-09,16645
1989-12-16,15977
1989-12-23,16655
1989-12-30,15718
1990-01-06,11870
1990-01-13,18406
1990-01-20,19937
1990-01-27,17739
1990-02-03,17507
1990-02-10,18883
1990-02-17,15738
1990-02-24,13824
1990-03-03,14469
1990-03-10,15189
1990-03-17,15531
1990-03-24,13951
1990-03-31,12749
1990-04-07,13153
1990-04-14,13640
1990-04-21,12018
1990-04-28,13033
1990-05-05,11655
1990-05-12,12262
1990-05-19,11529
1990-05-26,13176
1990-06-02,10539
1990-06-09,12152
1990-06-16,12952
1990-06-23,12177
1990-06-30,13041
1990-07-07,12663
1990-07-14,13145
1990-07-21,13703
1990-07-28,12638
1990-08-04,13393
1990-08-11,13804
1990-08-18,12384
1990-08-25,12683
1990-09-01,11841
1990-09-08,12049
1990-09-15,12458
1990-09-22,12462
1990-09-29,12704
1990-10-06,13159
1990-10-13,14376
1990-10-20,15693
1990-10-27,16097
1990-11-03,14796
1990-11-10,16283
1990-11-17,17371
1990-11-24,14866
1990-12-01,15546
1990-12-08,18412
1990-12-15,17432
1990-12-22,18562
1990-12-29,11082
1991-01-05,11782
1991-01-12,22051
1991-01-19,24492
1991-01-26,19418
1991-02-02,18052
1991-02-09,18674
1991-02-16,16723
1991-02-23,15976
1991-03-02,14043
1991-03-09,14807
1991-03-16,13843
1991-03-23,14403
1991-03-30,15344
1991-04-06,11788
1991-04-13,14622
1991-04-20,15738
1991-04-27,13910
1991-05-04,13347
1991-05-11,14129
1991-05-18,13805
1991-05-25,14225
1991-06-01,11074
1991-06-08,15073
1991-06-15,15187
1991-06-22,14069
1991-06-29,13778
1991-07-06,14777
1991-07-13,18181
1991-07-20,15012
1991-07-27,14665
1991-08-03,14537
1991-08-10,16731
1991-08-17,13868
1991-08-24,14055
1991-08-31,14076
1991-09-07,12282
1991-09-14,14718
1991-09-21,15109
1991-09-28,15642
1991-10-05,14954
1991-10-12,21212
1991-10-19,16646
1991-10-26,16212
1991-11-02,18027
1991-11-09,18110
1991-11-16,16573
1991-11-23,19122
1991-11-30,16140
1991-12-07,13300
1991-12-14,20902
1991-12-21,20286
1991-12-28,15748
1992-01-04,15652
1992-01-11,23742
1992-01-18,18579
1992-01-25,21569
1992-02-01,21230
1992-02-08,17825
1992-02-15,21928
1992-02-22,15357
1992-02-29,20048
1992-03-07,16114
1992-03-14,16833
1992-03-21,19687
1992-03-28,16041
1992-04-04,16228
1992-04-11,17068
1992-04-18,19557
1992-04-25,15216
1992-05-02,17090
1992-05-09,16242
1992-05-16,14921
1992-05-23,16304
1992-05-30,15350
1992-06-06,16810
1992-06-13,17691
1992-06-20,16819
1992-06-27,15367
1992-07-04,16513
1992-07-11,16170
1992-07-18,17195
1992-07-25,16556
1992-08-01,15374
1992-08-08,17347
1992-08-15,15175
1992-08-22,15203
1992-08-29,14742
1992-09-05,14955
1992-09-12,13377
1992-09-19,13871
1992-09-26,14712
1992-10-03,14359
1992-10-10,16609
1992-10-17,15943
1992-10-24,15451
1992-10-31,15594
1992-11-07,17023
1992-11-14,15268
1992-11-21,17546
1992-11-28,14137
1992-12-05,17985
1992-12-12,18926
1992-12-19,17129
1992-12-26,15677
1993-01-02,14860
1993-01-09,18223
1993-01-16,22026
1993-01-23,16978
1993-01-30,18267
1993-02-06,16269
1993-02-13,13582
1993-02-20,17238
1993-02-27,14993
1993-03-06,14477
1993-03-13,14610
1993-03-20,14751
1993-03-27,14352
1993-04-03,13075
1993-04-10,14787
1993-04-17,13934
1993-04-24,13778
1993-05-01,15486
1993-05-08,13225
1993-05-15,13564
1993-05-22,13678
1993-05-29,15414
1993-06-05,12754
1993-06-12,15227
1993-06-19,14525
1993-06-26,15057
1993-07-03,14204
1993-07-10,14579
1993-07-17,16128
1993-07-24,14406
1993-07-31,15250
1993-08-07,14424
1993-08-14,13174
1993-08-21,13837
1993-08-28,13206
1993-09-04,13345
1993-09-11,12931
1993-09-18,12892
1993-09-25,13279
1993-10-02,13318
1993-10-09,15134
1993-10-16,16156
1993-10-23,16801
1993-10-30,16693
1993-11-06,16235
1993-11-13,16363
1993-11-20,15770
1993-11-27,13698
1993-12-04,15863
1993-12-11,17935
1993-12-18,16205
1993-12-25,19233
1994-01-01,15307
1994-01-08,18491
1994-01-15,20720
1994-01-22,16996
1994-01-29,17042
1994-02-05,16747
1994-02-12,15376
1994-02-19,15017
1994-02-26,13043
1994-03-05,13244
1994-03-12,14004
1994-03-19,13761
1994-03-26,13522
1994-04-02,12902
1994-04-09,13304
1994-04-16,14174
1994-04-23,13466
1994-04-30,12982
1994-05-07,13764
1994-05-14,14716
1994-05-21,14182
1994-05-28,14504
1994-06-04,13282
1994-06-11,13616
1994-06-18,13571
1994-06-25,13382
1994-07-02,12889
1994-07-09,12863
1994-07-16,15006
1994-07-23,13895
1994-07-30,13364
1994-08-06,13045
1994-08-13,12598
1994-08-20,13710
1994-08-27,12604
1994-09-03,12699
1994-09-10,12136
1994-09-17,12001
1994-09-24,12026
1994-10-01,13532
1994-10-08,14377
1994-10-15,14569
1994-10-22,12929
1994-10-29,14954
1994-11-05,15513
1994-11-12,16421
1994-11-19,14475
1994-11-26,12192
1994-12-03,15860
1994-12-10,16691
1994-12-17,14585
1994-12-24,17970
1994-12-31,14223
1995-01-07,14519
1995-01-14,20387
1995-01-21,17587
1995-01-28,15942
1995-02-04,14686
1995-02-11,14954
1995-02-18,13527
1995-02-25,12300
1995-03-04,12313
1995-03-11,13981
1995-03-18,14904
1995-03-25,12761
1995-04-01,11938
1995-04-08,13606
1995-04-15,13781
1995-04-22,12180
1995-04-29,13337
1995-05-06,12928
1995-05-13,13423
1995-05-20,13254
1995-05-27,13659
1995-06-03,12839
1995-06-10,15377
1995-06-17,14811
1995-06-24,13541
1995-07-01,13459
1995-07-08,12863
1995-07-15,15040
1995-07-22,14101
1995-07-29,12948
1995-08-05,13809
1995-08-12,14039
1995-08-19,13984
1995-08-26,13343
1995-09-02,12746
1995-09-09,12372
1995-09-16,13615
1995-09-23,13334
1995-09-30,13619
1995-10-07,14556
1995-10-14,15682
1995-10-21,13699
1995-10-28,13379
1995-11-04,14238
1995-11-11,15240
1995-11-18,14604
1995-11-25,12253
1995-12-02,14709
1995-12-09,16421
1995-12-16,14256
1995-12-23,17812
1995-12-30,12931
1996-01-06,11850
1996-01-13,19332
1996-01-20,16683
1996-01-27,17120
1996-02-03,12124
1996-02-10,16671
1996-02-17,14703
1996-02-24,13297
1996-03-02,11665
1996-03-09,12688
1996-03-16,12355
1996-03-23,13491
1996-03-30,12524
1996-04-06,14848
1996-04-13,12623
1996-04-20,12846
1996-04-27,11813
1996-05-04,12201
1996-05-11,12031
1996-05-18,12138
1996-05-25,12804
1996-06-01,13011
1996-06-08,12455
1996-06-15,13972
1996-06-22,12638
1996-06-29,13583
1996-07-06,14174
1996-07-13,12613
1996-07-20,15133
1996-07-27,13448
1996-08-03,11843
1996-08-10,12771
1996-08-17,12108
1996-08-24,12687
1996-08-31,11693
1996-09-07,12137
1996-09-14,12823
1996-09-21,12693
1996-09-28,12312
1996-10-05,12624
1996-10-12,13476
1996-10-19,12634
1996-10-26,13231
1996-11-02,13311
1996-11-09,12675
1996-11-16,12993
1996-11-23,15630
1996-11-30,16281
1996-12-07,12228
1996-12-14,18233
1996-12-21,22341
1996-12-28,13320
1997-01-04,14715
1997-01-11,20582
1997-01-18,13909
1997-01-25,18834
1997-02-01,13614
1997-02-08,14892
1997-02-15,13316
1997-02-22,14401
1997-03-01,12235
1997-03-08,13501
1997-03-15,14024
1997-03-22,13304
1997-03-29,11314
1997-04-05,13268
1997-04-12,15163
1997-04-19,11060
1997-04-26,13131
1997-05-03,12260
1997-05-10,12969
1997-05-17,12556
1997-05-24,13115
1997-05-31,13473
1997-06-07,14114
1997-06-14,12583
1997-06-21,12858
1997-06-28,13224
1997-07-05,15283
1997-07-12,13244
1997-07-19,12854
1997-07-26,13412
1997-08-02,12756
1997-08-09,16415
1997-08-16,13255
1997-08-23,12541
1997-08-30,11746
1997-09-06,12298
1997-09-13,10941
1997-09-20,13637
1997-09-27,10907
1997-10-04,11524
1997-10-11,15349
1997-10-18,12782
1997-10-25,12555
1997-11-01,12466
1997-11-08,13491
1997-11-15,13964
1997-11-22,13732
1997-11-29,15674
1997-12-06,11798
1997-12-13,13025
1997-12-20,16227
1997-12-27,19102
1998-01-03,5999
1998-01-10,18258
1998-01-17,16742
1998-01-24,13927
1998-01-31,11909
1998-02-07,13022
1998-02-14,11977
1998-02-21,11879
1998-02-28,10244
1998-03-07,13337
1998-03-14,12127
1998-03-21,13227
1998-03-28,13038
1998-04-04,11893
1998-04-11,13589
1998-04-18,11196
1998-04-25,10990
1998-05-02,11087
1998-05-09,12784
1998-05-16,11973
1998-05-23,13636
1998-05-30,13202
1998-06-06,13162
1998-06-13,12112
1998-06-20,14229
1998-06-27,13699
1998-07-04,15125
1998-07-11,15107
1998-07-18,13449
1998-07-25,12761
1998-08-01,12365
1998-08-08,12909
1998-08-15,12240
1998-08-22,13331
1998-08-29,12477
1998-09-05,13399
1998-09-12,11473
1998-09-19,11581
1998-09-26,11496
1998-10-03,12120
1998-10-10,15683
1998-10-17,13092
1998-10-24,14442
1998-10-31,16530
1998-11-07,19534
1998-11-14,16939
1998-11-21,16132
1998-11-28,14441
1998-12-05,14043
1998-12-12,16584
1998-12-19,19641
1998-12-26,15472
1999-01-02,11668
1999-01-09,20306
1999-01-16,18499
1999-01-23,16052
1999-01-30,15109
1999-02-06,16104
1999-02-13,14377
1999-02-20,13778
1999-02-27,12394
1999-03-06,15621
1999-03-13,15681
1999-03-20,14234
1999-03-27,13518
1999-04-03,13700
1999-04-10,16870
1999-04-17,14235
1999-04-24,14356
1999-05-01,13876
1999-05-08,15610
1999-05-15,14744
1999-05-22,14741
1999-05-29,16417
1999-06-05,17395
1999-06-12,13236
1999-06-19,14073
1999-06-26,14470
1999-07-03,14664
1999-07-10,15680
1999-07-17,13430
1999-07-24,13116
1999-07-31,13020
1999-08-07,13412
1999-08-14,13259
1999-08-21,13292
1999-08-28,12718
1999-09-04,15350
1999-09-11,15091
1999-09-18,10783
1999-09-25,11611
1999-10-02,11866
1999-10-09,15510
1999-10-16,12948
1999-10-23,14247
1999-10-30,13453
1999-11-06,15361
1999-11-13,14538
1999-11-20,14149
1999-11-27,15459
1999-12-04,13517
1999-12-11,13879
1999-12-18,15014
1999-12-25,15585
2000-01-01,8310
2000-01-08,18872
2000-01-15,15218
2000-01-22,14151
2000-01-29,12024
2000-02-05,13771
2000-02-12,12411
2000-02-19,11631
2000-02-26,12097
2000-03-04,11382
2000-03-11,12074
2000-03-18,13925
2000-03-25,11611
2000-04-01,10863
2000-04-08,14913
2000-04-15,12329
2000-04-22,11431
2000-04-29,11740
2000-05-06,12480
2000-05-13,12827
2000-05-20,13320
2000-05-27,13447
2000-06-03,15081
2000-06-10,12683
2000-06-17,12959
2000-06-24,12720
2000-07-01,14279
2000-07-08,15123
2000-07-15,11551
2000-07-22,12814
2000-07-29,12071
2000-08-05,14270
2000-08-12,12547
2000-08-19,13007
2000-08-26,12761
2000-09-02,15067
2000-09-09,13480
2000-09-16,11944
2000-09-23,11577
2000-09-30,11968
2000-10-07,17593
2000-10-14,14105
2000-10-21,13113
2000-10-28,13421
2000-11-04,14710
2000-11-11,16914
2000-11-18,18344
2000-11-25,13055
2000-12-02,14514
2000-12-09,14971
2000-12-16,14545
2000-12-23,15346
2000-12-30,17745
2001-01-06,12071
2001-01-13,18541
2001-01-20,16796
2001-01-27,14859
2001-02-03,15456
2001-02-10,14792
2001-02-17,13916
2001-02-24,14885
2001-03-03,13809
