"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2012","2015","2017"
"01001","Autauga, AL",1482770,1653173,1582480
"01003","Baldwin, AL",5016735,5756010,6181913
"01005","Barbour, AL",726909,784874,793264
"01007","Bibb, AL",374435,389745,400681
"01009","Blount, AL",804763,870909,886794
"01011","Bullock, AL",253214,231682,244165
"01013","Butler, AL",565044,600364,599698
"01015","Calhoun, AL",4260733,4049885,4225257
"01017","Chambers, AL",752850,2049247,2249818
"01019","Cherokee, AL",486349,516608,505868
"01021","Chilton, AL",820985,873890,908777
"01023","Choctaw, AL",568763,563615,555055
"01025","Clarke, AL",800455,865911,858838
"01027","Clay, AL",282082,339101,350093
"01029","Cleburne, AL",270776,306064,295903
"01031","Coffee, AL",1198684,1418338,1515081
"01033","Colbert, AL",2423750,2943816,2918397
"01035","Conecuh, AL",513044,394580,402218
"01037","Coosa, AL",157905,177599,184130
"01039","Covington, AL",1105577,1207681,1245954
"01041","Crenshaw, AL",414188,446519,427004
"01043","Cullman, AL",2298846,2619601,2695368
"01045","Dale, AL",2689377,2563462,2696020
"01047","Dallas, AL",1254605,1272762,1282061
"01049","DeKalb, AL",1589171,1821193,1819727
"01051","Elmore, AL",1559648,1722808,1817846
"01053","Escambia, AL",1250140,1157566,1210874
"01055","Etowah, AL",2801621,2931523,3028343
"01057","Fayette, AL",456379,347163,351208
"01059","Franklin, AL",846161,869884,915735
"01061","Geneva, AL",474268,525725,526443
"01063","Greene, AL",292866,261527,233558
"01065","Hale, AL",300089,293782,305793
"01067","Henry, AL",316972,342670,365637
"01069","Houston, AL",4209805,4521599,4689653
"01071","Jackson, AL",1556659,1518612,1431956
"01073","Jefferson, AL",39515681,41661199,44232924
"01075","Lamar, AL",319162,318003,327170
"01077","Lauderdale, AL",2490796,2616163,2661579
"01079","Lawrence, AL",797752,597778,575611
"01081","Lee, AL",4578973,5906556,6551983
"01083","Limestone, AL",2970593,3399974,3618373
"01085","Lowndes, AL",444095,422411,430383
"01087","Macon, AL",485252,474664,480957
"01089","Madison, AL",19512201,20964418,22471571
"01091","Marengo, AL",670787,725749,723005
"01093","Marion, AL",797023,833931,853211
"01095","Marshall, AL",2763122,3008568,3200694
"01097","Mobile, AL",17901892,18400414,19080200
"01099","Monroe, AL",665614,654643,676694
"01101","Montgomery, AL",12235434,13158299,13724107
"01103","Morgan, AL",4515001,4979055,5316709
"01105","Perry, AL",229993,209050,202877
"01107","Pickens, AL",343674,414219,406174
"01109","Pike, AL",1176489,1345168,1386347
"01111","Randolph, AL",391438,453409,444349
"01113","Russell, AL",1265157,1540554,1603191
"01115","St. Clair, AL",1624555,1792084,1904594
"01117","Shelby, AL",8268481,10023965,10850218
"01119","Sumter, AL",351774,362037,349196
"01121","Talladega, AL",2767076,3001762,3012617
"01123","Tallapoosa, AL",1146236,1289888,1277695
"01125","Tuscaloosa, AL",9382954,8732666,9177095
"01127","Walker, AL",1795958,2029669,2102696
"01129","Washington, AL",742552,793680,879069
"01131","Wilcox, AL",353909,396066,408633
"01133","Winston, AL",618744,687184,732864
"02013","Aleutians East Borough, AK*",124827,201166,227152
"02016","Aleutians West Census Area, AK*",367118,408483,393534
"02020","Anchorage Municipality, AK",20750943,21734127,21518707
"02050","Bethel Census Area, AK*",632455,651842,664233
"02060","Bristol Bay Borough, AK",112665,124644,128832
"02068","Denali Borough, AK*",189064,248824,251617
"02070","Dillingham Census Area, AK*",238161,271559,272666
"02090","Fairbanks North Star Borough, AK",5562537,5845101,6040827
"02100","Haines Borough, AK",86324,101928,108316
"02105","Hoonah-Angoon Census Area, AK*",73050,80800,80510
"02110","Juneau City and Borough, AK",2326725,2287244,2465591
"02122","Kenai Peninsula Borough, AK",2633175,2842819,2785111
"02130","Ketchikan Gateway Borough, AK*",831304,894395,896222
"02150","Kodiak Island Borough, AK",742360,835484,799176
"02158","Kusilvak Census Area, AK*",145467,158521,159377
"02164","Lake and Peninsula Borough, AK*",82977,86777,95442
"02170","Matanuska-Susitna Borough, AK",2168902,2469518,2471203
"02180","Nome Census Area, AK*",397967,438622,431135
"02185","North Slope Borough, AK",15957812,6170767,6834089
"02188","Northwest Arctic Borough, AK",603002,529218,664171
"02195","Petersburg Borough, AK*",188595,184070,172817
"02198","Prince of Wales-Hyder Census Area, AK*",203440,209382,218161
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)","(NA)","(NA)"
"02220","Sitka City and Borough, AK",499040,518508,486606
"02230","Skagway Municipality, AK*",95333,83799,94055
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)","(NA)","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",605413,509923,624271
"02261","Valdez-Cordova Census Area, AK*",1532217,2364088,2511937
"02275","Wrangell City and Borough, AK*",79155,90815,91161
"02280","Wrangell-Petersburg Census Area, AK*","(NA)","(NA)","(NA)"
"02282","Yakutat City and Borough, AK*",38019,37736,30427
"02290","Yukon-Koyukuk Census Area, AK*",402084,261412,285732
"04001","Apache, AZ",2728727,2716658,2818731
"04003","Cochise, AZ",4437565,4464700,4644318
"04005","Coconino, AZ",6155174,6766348,7532444
"04007","Gila, AZ",1909738,1890211,1982298
"04009","Graham, AZ",912285,883430,1128317
"04011","Greenlee, AZ",1532472,1353442,1615689
"04012","La Paz, AZ",586515,588461,636421
"04013","Maricopa, AZ",186117181,210206373,231877292
"04015","Mohave, AZ",4503558,5007147,5384504
"04017","Navajo, AZ",3315681,3409794,3594661
"04019","Pima, AZ",36431583,38369793,42469565
"04021","Pinal, AZ",6682699,6738471,7052179
"04023","Santa Cruz, AZ",1546534,1645502,1784463
"04025","Yavapai, AZ",5400875,6115092,6829024
"04027","Yuma, AZ",6028238,6985735,8145868
"05001","Arkansas, AR",939725,1055575,1077468
"05003","Ashley, AR",920808,993038,1034918
"05005","Baxter, AR",1083263,1176460,1218493
"05007","Benton, AR",9989941,12453526,13713202
"05009","Boone, AR",1127099,1180116,1226956
"05011","Bradley, AR",301748,343837,356425
"05013","Calhoun, AR",288221,342482,357463
"05015","Carroll, AR",655935,795055,846954
"05017","Chicot, AR",338340,244803,277083
"05019","Clark, AR",710820,774303,812604
"05021","Clay, AR",387653,314269,341623
"05023","Cleburne, AR",820163,865653,809177
"05025","Cleveland, AR",119290,155384,157566
"05027","Columbia, AR",887285,884417,863631
"05029","Conway, AR",934217,919320,845892
"05031","Craighead, AR",3775729,4098616,4341733
"05033","Crawford, AR",1535780,1638573,1694342
"05035","Crittenden, AR",1438496,1578048,1617772
"05037","Cross, AR",461134,449606,466346
"05039","Dallas, AR",203032,215205,224180
"05041","Desha, AR",539745,514621,509007
"05043","Drew, AR",581197,604737,620786
"05045","Faulkner, AR",3657068,3822474,3828105
"05047","Franklin, AR",408458,469672,467632
"05049","Fulton, AR",181996,207895,192798
"05051","Garland, AR",2882191,3127125,3312061
"05053","Grant, AR",347021,401982,414713
"05055","Greene, AR",1322848,1413970,1454371
"05057","Hempstead, AR",718400,873021,956677
"05059","Hot Spring, AR",836992,893814,972398
"05061","Howard, AR",516011,615360,640625
"05063","Independence, AR",1694692,1600276,1738645
"05065","Izard, AR",279312,301799,286672
"05067","Jackson, AR",577056,541280,549281
"05069","Jefferson, AR",3337710,3133379,3223930
"05071","Johnson, AR",634857,717281,747549
"05073","Lafayette, AR",183432,177428,165525
"05075","Lawrence, AR",396799,392097,450666
"05077","Lee, AR",236232,195526,185199
"05079","Lincoln, AR",261800,272832,262042
"05081","Little River, AR",540962,437004,425233
"05083","Logan, AR",523544,607069,603048
"05085","Lonoke, AR",1101740,1213898,1274572
"05087","Madison, AR",307184,404170,403581
"05089","Marion, AR",404560,587510,528922
"05091","Miller, AR",1250665,1198085,1186229
"05093","Mississippi, AR",2255205,2007649,2151003
"05095","Monroe, AR",241945,201362,211063
"05097","Montgomery, AR",154776,169631,161557
"05099","Nevada, AR",238051,284402,274299
"05101","Newton, AR",104212,109466,106633
"05103","Ouachita, AR",626843,657751,662524
"05105","Perry, AR",137262,159499,150625
"05107","Phillips, AR",532930,508583,487026
"05109","Pike, AR",220195,252181,253381
"05111","Poinsett, AR",574294,558421,588415
"05113","Polk, AR",461245,518467,519513
"05115","Pope, AR",2599080,3014536,2931681
"05117","Prairie, AR",195451,160681,171648
"05119","Pulaski, AR",25137955,27892338,28785735
"05121","Randolph, AR",372702,372458,435030
"05123","St. Francis, AR",687626,729514,755715
"05125","Saline, AR",1872230,2085139,2156494
"05127","Scott, AR",233162,280795,293097
"05129","Searcy, AR",138845,138909,134384
"05131","Sebastian, AR",6159528,6329829,6475229
"05133","Sevier, AR",386448,462309,467632
"05135","Sharp, AR",297104,345897,343609
"05137","Stone, AR",214418,240938,237672
"05139","Union, AR",2264594,2744993,2737116
"05141","Van Buren, AR",748821,624435,532009
"05143","Washington, AR",8065992,9637921,10604764
"05145","White, AR",2457516,2332315,2294670
"05147","Woodruff, AR",250794,187147,211888
"05149","Yell, AR",474778,551070,564552
"06001","Alameda, CA",97170941,121519158,136890879
"06003","Alpine, CA",168411,203467,209797
"06005","Amador, CA",1372634,1626075,1759321
"06007","Butte, CA",7682299,8763463,9862966
"06009","Calaveras, CA",1160530,1344809,1622265
"06011","Colusa, CA",1319249,1710825,1487941
"06013","Contra Costa, CA",61245902,70150916,75465287
"06015","Del Norte, CA",832732,925446,992350
"06017","El Dorado, CA",5919994,7105714,8293564
"06019","Fresno, CA",35320177,40822727,44556601
"06021","Glenn, CA",1114944,1210040,1302819
"06023","Humboldt, CA",5110816,5874177,6510807
"06025","Imperial, CA",6900001,7971536,8488801
"06027","Inyo, CA",1095813,1207493,1313499
"06029","Kern, CA",47583866,44755730,47855537
"06031","Kings, CA",5351339,5711831,5860271
"06033","Lake, CA",1807263,2072839,2304447
"06035","Lassen, CA",1236708,1365595,1441030
"06037","Los Angeles, CA",594533416,689496475,747458756
"06039","Madera, CA",5236840,5944380,6691550
"06041","Marin, CA",17253018,20396361,22143494
"06043","Mariposa, CA",655234,734668,877467
"06045","Mendocino, CA",3165290,3595561,3850625
"06047","Merced, CA",7673815,8681290,9775379
"06049","Modoc, CA",407024,437727,435215
"06051","Mono, CA",903930,970247,1161466
"06053","Monterey, CA",21334753,24960491,26260826
"06055","Napa, CA",8125419,9968906,10637292
"06057","Nevada, CA",3767125,4243124,4533128
"06059","Orange, CA",193548218,222888391,247655719
"06061","Placer, CA",15662052,20142741,23129446
"06063","Plumas, CA",948114,1017738,1239300
"06065","Riverside, CA",63086241,77762712,85777134
"06067","Sacramento, CA",71078822,84834380,91539672
"06069","San Benito, CA",1871963,2407043,2701214
"06071","San Bernardino, CA",69510597,83047712,91284524
"06073","San Diego, CA",180338029,213188361,230789437
"06075","San Francisco, CA",111944064,143521272,167230402
"06077","San Joaquin, CA",23479293,28189657,30320567
"06079","San Luis Obispo, CA",13717226,16457573,17667171
"06081","San Mateo, CA",76980869,90756715,107652256
"06083","Santa Barbara, CA",23238831,27209532,28588316
"06085","Santa Clara, CA",192295722,257959216,296160576
"06087","Santa Cruz, CA",11919564,13964126,14778439
"06089","Shasta, CA",6664456,7563373,8497597
"06091","Sierra, CA",156760,179827,200417
"06093","Siskiyou, CA",1613786,1803333,1941190
"06095","Solano, CA",19232849,22528916,25212273
"06097","Sonoma, CA",22862195,27590923,30177027
"06099","Stanislaus, CA",18174763,22210590,23560346
"06101","Sutter, CA",3093165,3444213,3584925
"06103","Tehama, CA",1662213,2006798,2258581
"06105","Trinity, CA",438593,485336,544965
"06107","Tulare, CA",13982531,16911566,18272411
"06109","Tuolumne, CA",2124067,2406056,2847530
"06111","Ventura, CA",45787564,53256465,57593977
"06113","Yolo, CA",10933122,13337762,14586476
"06115","Yuba, CA",2702116,2928844,3275401
"08001","Adams, CO*",18583034,22132117,24790908
"08003","Alamosa, CO",614267,702330,712189
"08005","Arapahoe, CO",34093393,41889765,46079650
"08007","Archuleta, CO",419589,467510,501180
"08009","Baca, CO",145896,121272,135187
"08011","Bent, CO",164357,169165,160474
"08013","Boulder, CO*",20432621,23779054,26367000
"08014","Broomfield, CO*",6984737,7825937,8884998
"08015","Chaffee, CO",556676,655082,743940
"08017","Cheyenne, CO",221785,168689,199511
"08019","Clear Creek, CO",518277,598382,503539
"08021","Conejos, CO",173656,216566,226795
"08023","Costilla, CO",88851,110560,111217
"08025","Crowley, CO",127998,165172,149051
"08027","Custer, CO",118117,150936,140487
"08029","Delta, CO",897094,822605,804487
"08031","Denver, CO",54750675,67078912,72403705
"08033","Dolores, CO",102828,149541,141504
"08035","Douglas, CO",12582070,14856247,16414609
"08037","Eagle, CO",2569140,3387476,3736715
"08039","Elbert, CO",370606,440868,508145
"08041","El Paso, CO",28776560,31961534,35073946
"08043","Fremont, CO",1231277,1342760,1447138
"08045","Garfield, CO",3816191,3441973,3682316
"08047","Gilpin, CO",537548,547410,625939
"08049","Grand, CO",606255,706129,772796
"08051","Gunnison, CO",1108495,937528,1074232
"08053","Hinsdale, CO",47290,50767,57063
"08055","Huerfano, CO",207675,221336,266826
"08057","Jackson, CO",67984,83806,97175
"08059","Jefferson, CO*",24116713,27778038,31307294
"08061","Kiowa, CO",93751,79033,85516
"08063","Kit Carson, CO",392480,330444,354595
"08065","Lake, CO",278563,274265,310184
"08067","La Plata, CO",3162531,3162957,3478396
"08069","Larimer, CO",13104708,15727627,17670237
"08071","Las Animas, CO",684577,587988,620199
"08073","Lincoln, CO",291455,368316,408252
"08075","Logan, CO",1080428,1238138,1120999
"08077","Mesa, CO",5646768,6092592,6527108
"08079","Mineral, CO",62167,74401,79592
"08081","Moffat, CO",1118184,1064996,1068893
"08083","Montezuma, CO",1534375,1308323,1578633
"08085","Montrose, CO",1275629,1388163,1490596
"08087","Morgan, CO",1377968,1589897,1635879
"08089","Otero, CO",578519,628000,623508
"08091","Ouray, CO",159276,220144,211146
"08093","Park, CO",336480,377478,432897
"08095","Phillips, CO",238405,197102,204454
"08097","Pitkin, CO",1585597,1959344,2119967
"08099","Prowers, CO",565681,557888,539914
"08101","Pueblo, CO",5589514,6035970,6562728
"08103","Rio Blanco, CO",807629,564939,562080
"08105","Rio Grande, CO",373685,452924,449480
"08107","Routt, CO",1859168,1689523,1800013
"08109","Saguache, CO",165799,192911,177039
"08111","San Juan, CO",46672,52342,48736
"08113","San Miguel, CO",465064,657367,682362
"08115","Sedgwick, CO",143865,124116,117494
"08117","Summit, CO",1737460,2102773,2365430
"08119","Teller, CO",759624,845533,941544
"08121","Washington, CO",250054,194032,179951
"08123","Weld, CO*",11925849,14746637,16758702
"08125","Yuma, CO",795924,709233,677842
"09001","Fairfield, CT",81498346,85134077,86789904
"09003","Hartford, CT",73579121,80479523,82728084
"09005","Litchfield, CT",8097907,8134577,8324290
"09007","Middlesex, CT",8772042,9439378,9706747
"09009","New Haven, CT",45646650,49304508,51702123
"09011","New London, CT",16750055,17670134,18676652
"09013","Tolland, CT",4941983,5046672,5329977
"09015","Windham, CT",4514867,4863716,5052756
"10001","Kent, DE",6524166,7040057,7305636
"10003","New Castle, DE",45961287,48181582,48694487
"10005","Sussex, DE",9490306,15747744,14774672
"11001","District of Columbia, DC",112736453,125211871,134042685
"12001","Alachua, FL",10938232,12338543,13350955
"12003","Baker, FL",532783,575047,619110
"12005","Bay, FL",6952683,7790184,8286063
"12007","Bradford, FL",592699,626975,691662
"12009","Brevard, FL",19247542,21897824,24213199
"12011","Broward, FL",81093194,94510433,103518020
"12013","Calhoun, FL",253663,258172,265384
"12015","Charlotte, FL",3902969,4513185,4961076
"12017","Citrus, FL",3517306,3645362,3792384
"12019","Clay, FL",3713420,4332186,4796088
"12021","Collier, FL",12427586,15271202,16825018
"12023","Columbia, FL",1805791,2166382,2209433
"12027","DeSoto, FL",796332,851945,942402
"12029","Dixie, FL",243042,276844,297218
"12031","Duval, FL",48594946,56929204,63415428
"12033","Escambia, FL",12805029,14227767,15248960
"12035","Flagler, FL",1762364,2056796,2326075
"12037","Franklin, FL",351501,352234,371130
"12039","Gadsden, FL",1247140,1161764,1275784
"12041","Gilchrist, FL",312719,343073,370193
"12043","Glades, FL",256639,256556,270620
"12045","Gulf, FL",359578,388667,417107
"12047","Hamilton, FL",395073,421877,430058
"12049","Hardee, FL",1119102,1052616,1168399
"12051","Hendry, FL",1170603,1161025,1243698
"12053","Hernando, FL",3200989,3629672,4045914
"12055","Highlands, FL",2375241,2499129,2682809
"12057","Hillsborough, FL",67458171,77833428,84630786
"12059","Holmes, FL",329497,345299,368066
"12061","Indian River, FL",4501931,5171603,5648217
"12063","Jackson, FL",1170989,1224461,1295289
"12065","Jefferson, FL",279065,303627,313661
"12067","Lafayette, FL",187936,226281,193948
"12069","Lake, FL",6847077,7943761,8735358
"12071","Lee, FL",21694925,25785230,29010342
"12073","Leon, FL",12867527,13979852,15256571
"12075","Levy, FL",704858,1002600,1296029
"12077","Liberty, FL",184988,188031,196809
"12079","Madison, FL",421481,534990,522970
"12081","Manatee, FL",10195055,12359371,13401912
"12083","Marion, FL",7785184,8828250,9821156
"12085","Martin, FL",6227209,7053476,7367525
"12086","Miami-Dade, FL",119448397,140748895,155985254
"12087","Monroe, FL",3859256,4322709,4694554
"12089","Nassau, FL",1964608,2176708,2385181
"12091","Okaloosa, FL",9363504,10218453,11173186
"12093","Okeechobee, FL",991475,1205708,1297922
"12095","Orange, FL",69404852,82970840,92521010
"12097","Osceola, FL",6985229,8262981,9048361
"12099","Palm Beach, FL",58529406,70474982,77938799
"12101","Pasco, FL",9421033,10961104,12078515
"12103","Pinellas, FL",40254604,45693955,49408213
"12105","Polk, FL",19901708,21799914,23956629
"12107","Putnam, FL",2128537,2154516,2214212
"12109","St. Johns, FL",5412679,6703402,7794311
"12111","St. Lucie, FL",7189496,8148416,9013598
"12113","Santa Rosa, FL",3388944,3710587,4054358
"12115","Sarasota, FL",13631744,16993503,18810302
"12117","Seminole, FL",15331384,18085354,20549747
"12119","Sumter, FL",1997444,2324187,2661364
"12121","Suwannee, FL",1080372,1157794,1082642
"12123","Taylor, FL",693324,976079,971618
"12125","Union, FL",317874,322260,343427
"12127","Volusia, FL",14221864,15905962,17661757
"12129","Wakulla, FL",567169,633587,669260
"12131","Walton, FL",1918671,2380676,2725806
"12133","Washington, FL",481477,498684,532533
"13001","Appling, GA",1429736,1494035,1577575
"13003","Atkinson, GA",175956,229378,249092
"13005","Bacon, GA",306174,348701,386738
"13007","Baker, GA",112876,79544,78956
"13009","Baldwin, GA",1249506,1326533,1381140
"13011","Banks, GA",322644,375266,429674
"13013","Barrow, GA",1524649,1818509,2000246
"13015","Bartow, GA",3751953,4432986,4820688
"13017","Ben Hill, GA",497296,524708,548564
"13019","Berrien, GA",382402,351849,382458
"13021","Bibb, GA",7339079,8282971,8558068
"13023","Bleckley, GA",281101,242761,255520
"13025","Brantley, GA",194327,236840,261061
"13027","Brooks, GA",288466,303161,299959
"13029","Bryan, GA",616103,751094,858586
"13031","Bulloch, GA",1841608,2208483,2395204
"13033","Burke, GA",1920577,2176005,2663788
"13035","Butts, GA",480912,540443,614717
"13037","Calhoun, GA",148345,123309,141675
"13039","Camden, GA",1681778,1823328,2024013
"13043","Candler, GA",239206,243529,263226
"13045","Carroll, GA",3677668,3838496,4165577
"13047","Catoosa, GA",1284274,1368638,1479532
"13049","Charlton, GA",195852,204127,218607
