,export,share,cum_share
DEU,2141237800.0,0.11058301,0.11058300733566284
CHN,1945760300.0,0.10048768,0.2110706865787506
USA,1712342900.0,0.088432975,0.2995036542415619
JPN,986767040.0,0.05096102,0.35046467185020447
FRA,960772540.0,0.04961855,0.4000832140445709
ITA,919377800.0,0.047480743,0.44756394624710083
GBR,785761000.0,0.04058018,0.4881441295146942
NLD,780282750.0,0.04029726,0.5284414291381836
BEL,627374500.0,0.0324004,0.5608417987823486
KOR,613023500.0,0.03165925,0.5925010442733765
CAN,578089860.0,0.02985512,0.6223561763763428
ESP,465566400.0,0.024043912,0.6464000940322876
SGP,377615900.0,0.019501759,0.6659018397331238
CHE,370318500.0,0.019124888,0.6850267052650452
MEX,334412930.0,0.017270565,0.7022972702980042
RUS,302385700.0,0.015616537,0.7179138660430908
IND,301720450.0,0.015582181,0.7334960699081421
MYS,293227800.0,0.015143583,0.7486396431922913
SWE,286272480.0,0.014784379,0.7634240388870239
AUT,265416370.0,0.013707277,0.7771313190460205
THA,247053140.0,0.012758918,0.7898902297019958
AUS,234416110.0,0.012106286,0.8019965291023254
BRA,224392420.0,0.011588618,0.8135851621627808
HKG,221453280.0,0.011436828,0.8250219821929932
IDN,210032880.0,0.010847028,0.8358690142631531
IRL,202653900.0,0.010465945,0.8463349342346191
CZE,181320900.0,0.009364215,0.8556991219520569
TWN,179355940.0,0.009262735,0.8649618625640869
DNK,173549520.0,0.008962866,0.873924732208252
POL,153912510.0,0.007948724,0.8818734288215637
FIN,141614770.0,0.007313614,0.8891870379447937
HUN,124685220.0,0.006439297,0.8956263661384583
PHL,124381130.0,0.0064235926,0.9020499587059021
TUR,112337690.0,0.005801616,0.9078515768051147
ZAF,98490750.0,0.005086499,0.9129380583763123
NOR,97919280.0,0.005056985,0.917995035648346
ARG,84013736.0,0.0043388414,0.9223338961601257
ISR,79967464.0,0.004129874,0.926463782787323
ARE,78996264.0,0.004079717,0.9305434823036194
PRT,76586984.0,0.003955291,0.9344987273216248
SVK,70721320.0,0.0036523622,0.9381510615348816
NZL,70243020.0,0.003627661,0.9417787194252014
SAU,66601892.0,0.0034396166,0.9452183246612549
CHL,64884590.0,0.0033509277,0.9485692381858826
UKR,63887540.0,0.0032994356,0.9518686532974243
ROU,58214880.0,0.0030064743,0.954875111579895
VEN,43961290.0,0.0022703556,0.9571454524993896
IRN,43547228.0,0.0022489717,0.9593945741653442
KAZ,39557544.0,0.0020429268,0.9614375233650208
SVN,38393200.0,0.0019827948,0.9634203314781189
GRC,36830348.0,0.0019020824,0.9653224349021912
LUX,34928904.0,0.0018038834,0.9671263098716736
KWT,30616364.0,0.0015811647,0.9687075018882751
COL,26358274.0,0.0013612581,0.9700687527656555
PAK,26265284.0,0.0013564556,0.9714252352714539
BGR,24433170.0,0.0012618371,0.9726870059967041
LTU,23615322.0,0.0012195999,0.9739065766334534
VNM,21659928.0,0.0011186147,0.9750251770019531
MAR,21171826.0,0.0010934069,0.9761185646057129
EGY,19306828.0,0.0009970901,0.9771156311035156
DZA,18863666.0,0.0009742033,0.9780898094177246
