,export,share,cum_share
DEU,2151733000.0,0.105411366,0.10541136562824249
JPN,990572100.0,0.04852719,0.15393856167793274
FRA,967413900.0,0.047392692,0.2013312578201294
ITA,924360450.0,0.045283545,0.24661479890346527
GBR,810905000.0,0.03972547,0.28634026646614075
NLD,795074800.0,0.038949963,0.3252902328968048
CAN,655105150.0,0.03209298,0.35738322138786316
BEL,637197700.0,0.031215712,0.3885989189147949
KOR,613916000.0,0.030075166,0.4186740815639496
ESP,471224640.0,0.02308485,0.441758930683136
RUS,409242900.0,0.020048423,0.46180734038352966
SGP,378074500.0,0.018521512,0.48032885789871216
CHE,373914140.0,0.0183177,0.4986465573310852
MEX,349924640.0,0.017142477,0.5157890319824219
IND,317573150.0,0.015557609,0.5313466191291809
MYS,306924930.0,0.015035962,0.5463826060295105
AUS,290076900.0,0.014210593,0.5605931878089905
SWE,287334240.0,0.014076233,0.5746694207191467
AUT,266750340.0,0.013067846,0.5877372622489929
IDN,256414050.0,0.012561481,0.6002987623214722
US.CA,255330880.0,0.012508418,0.6128071546554565
THA,248973630.0,0.012196982,0.6250041127204895
BRA,247818900.0,0.012140414,0.6371445059776306
HKG,221989170.0,0.01087504,0.6480196118354797
IRL,203095470.0,0.009949455,0.657969057559967
CN.GD,199321400.0,0.009764567,0.6677336096763611
CN.JS,191940770.0,0.009402997,0.6771366000175476
CZE,183563140.0,0.008992584,0.6861292123794556
DNK,179735950.0,0.008805094,0.6949343085289001
TWN,179634380.0,0.008800118,0.7037343978881836
US.TX,173631630.0,0.008506049,0.71224045753479
CN.SD,172466340.0,0.008448963,0.7206894755363464
POL,156259500.0,0.0076550054,0.7283445000648499
NOR,149117040.0,0.007305103,0.735649585723877
FIN,142197100.0,0.0069661015,0.7426156997680664
PHL,125524340.0,0.0061493185,0.7487649917602539
HUN,124900440.0,0.0061187544,0.7548837661743164
ZAF,118443656.0,0.005802443,0.7606862187385559
CN.ZJ,117400020.0,0.0057513155,0.7664375305175781
VEN,117233840.0,0.005743175,0.7721806764602661
TUR,115168810.0,0.005642011,0.7778226733207703
SAU,109512180.0,0.005364898,0.7831875681877136
CN.HE,101291910.0,0.004962195,0.7881497740745544
US.NY,100591670.0,0.004927891,0.7930776476860046
ARE,98881050.0,0.004844089,0.7979217171669006
ARG,90529850.0,0.0044349716,0.8023566603660583
CN.SC,82269130.0,0.004030287,0.8063869476318359
CN.HB,81593020.0,0.0039971652,0.810384213924408
CN.HU,80892450.0,0.0039628446,0.8143470287322998
ISR,80875820.0,0.00396203,0.8183090686798096
US.IL,80247040.0,0.0039312267,0.8222402930259705
CN.HN,79118616.0,0.0038759462,0.8261162638664246
CN.LN,78480270.0,0.0038446742,0.8299609422683716
IRN,78046344.0,0.0038234165,0.8337843418121338
PRT,77342530.0,0.0037889373,0.8375732898712158
CHL,72028300.0,0.0035285985,0.841101884841919
CN.FJ,71118700.0,0.003484038,0.8445858955383301
SVK,70942904.0,0.0034754258,0.8480613231658936
NZL,70722900.0,0.0034646478,0.8515259623527527
CN.SH,68774424.0,0.003369194,0.8548951745033264
US.OH,68595830.0,0.003360445,0.8582556247711182
UKR,68387710.0,0.0033502493,0.8616058826446533
US.PA,64978470.0,0.0031832338,0.8647891283035278
CN.BJ,63001504.0,0.0030863842,0.8678754568099976
