,export,share,cum_share
RUS,106857220.0,9.3652795e-07,0.10181228071451187
CAN,77015330.0,6.749849e-07,0.17519156634807587
VEN,73272540.0,6.4218204e-07,0.2450047731399536
AUS,55660790.0,4.878275e-07,0.29803770780563354
NOR,51197744.0,4.4871203e-07,0.34681829810142517
IDN,46381190.0,4.0649837e-07,0.39100974798202515
DZA,43258400.0,3.791293e-07,0.4322258234024048
SAU,42910270.0,3.760782e-07,0.47311022877693176
IRN,34499130.0,3.0236046e-07,0.5059806108474731
CHN,32787752.0,2.8736147e-07,0.5372203588485718
USA,29805678.0,2.612257e-07,0.5656188726425171
KWT,28013720.0,2.4552045e-07,0.5923100113868713
GBR,25143986.0,2.2036926e-07,0.6162669062614441
BRA,23426440.0,2.0531618e-07,0.6385873556137085
NGA,22698176.0,1.9893346e-07,0.6602138876914978
AGO,20623196.0,1.8074773e-07,0.679863452911377
ZAF,19952912.0,1.7487316e-07,0.6988743543624878
ARE,19884762.0,1.7427588e-07,0.7178203463554382
QAT,19657764.0,1.722864e-07,0.7365500330924988
IND,15852688.0,1.3893761e-07,0.7516542673110962
MEX,15511694.0,1.3594902e-07,0.766433596611023
IRQ,15165336.0,1.3291346e-07,0.7808829545974731
NLD,14791999.0,1.2964142e-07,0.7949765920639038
OMN,14134532.0,1.2387918e-07,0.8084437847137451
MYS,13697092.0,1.2004533e-07,0.8214942216873169
TTO,12793056.0,1.1212209e-07,0.8336833119392395
DEU,10495176.0,9.19828e-08,0.8436830043792725
BEL,9823258.0,8.609391e-08,0.853042483329773
LBY,7864531.0,6.892705e-08,0.860535740852356
KAZ,7793979.0,6.8308715e-08,0.8679617643356323
CHL,7143704.0,6.2609516e-08,0.8747681975364685
VNM,6712519.5,5.8830487e-08,0.8811636567115784
FRA,6641474.0,5.8207828e-08,0.8874915838241577
ARG,6516091.5,5.7108938e-08,0.8937000632286072
BOL,6215715.5,5.4476352e-08,0.8996223211288452
DNK,6186452.5,5.4219882e-08,0.9055166840553284
COL,5870232.0,5.1448435e-08,0.9111097455024719
ESP,5658242.5,4.9590497e-08,0.9165008664131165
ITA,4982600.5,4.3668972e-08,0.9212482571601868
PER,4827327.0,4.230811e-08,0.9258476495742798
BRN,4687954.0,4.1086604e-08,0.930314302444458
UKR,4500165.0,3.9440764e-08,0.9346020221710205
ECU,4141835.0,3.6300253e-08,0.9385483264923096
SYR,4037510.5,3.5385924e-08,0.9423952102661133
JPN,3804991.0,3.334806e-08,0.9460205435752869
CHE,3595667.5,3.1513483e-08,0.949446439743042
YEM,3248252.2,2.8468635e-08,0.9525413513183594
TUR,2831130.2,2.4812856e-08,0.9552388191223145
EGY,2812929.5,2.4653339e-08,0.9579189419746399
COG,2613796.0,2.2908074e-08,0.9604093432426453
GAB,2489982.8,2.1822938e-08,0.9627817869186401
AZE,2433774.8,2.1330315e-08,0.9651006460189819
POL,2346968.5,2.056952e-08,0.9673368334770203
CZE,2242237.5,1.9651628e-08,0.9694731831550598
MMR,2205263.0,1.932757e-08,0.9715743064880371
THA,1920526.2,1.6832054e-08,0.9734041094779968
TKM,1742875.6,1.5275074e-08,0.9750646948814392
MAR,1544565.5,1.3537025e-08,0.9765363335609436
GRC,1500194.2,1.3148141e-08,0.9779657125473022
AUT,1334023.0,1.1691769e-08,0.9792367815971375
PHL,1143189.2,1.0019245e-08,0.9803259968757629
CMR,1107064.5,9.702637e-09,0.981380820274353
MNG,1106145.2,9.694581e-09,0.9824347496032715
COD,1074622.5,9.418307e-09,0.9834586381912231
SWE,1061760.9,9.305584e-09,0.9844702482223511
JOR,1015114.1,8.896758e-09,0.9854374527931213
TUN,947637.06,8.305369e-09,0.986340343952179
ISR,908357.75,7.9611135e-09,0.9872058033943176
KOR,892695.6,7.8238465e-09,0.9880563616752625
GIN,766778.5,6.7202715e-09,0.9887869358062744
PRT,755550.75,6.6218684e-09,0.9895068407058716
NCL,659109.44,5.7766285e-09,0.9901348352432251
FIN,582341.5,5.103811e-09,0.9906896948814392
PNG,551470.94,4.833253e-09,0.9912151098251343
PRK,545788.7,4.7834523e-09,0.9917351603507996
HKG,535940.3,4.6971382e-09,0.9922457933425903
NZL,479872.5,4.2057433e-09,0.9927030205726624
SGP,458614.94,4.019436e-09,0.9931399822235107
ZMB,445528.3,3.904741e-09,0.9935644865036011
IRL,441567.12,3.870024e-09,0.9939851760864258
