,export,share,cum_share
DEU,2141237800.0,0.110583015,0.11058301478624344
JPN,986767040.0,0.050961025,0.1615440398454666
FRA,960772540.0,0.049618557,0.21116259694099426
ITA,919377800.0,0.047480747,0.25864332914352417
GBR,785761000.0,0.040580183,0.29922351241111755
NLD,780282750.0,0.040297262,0.33952078223228455
BEL,627374500.0,0.032400403,0.371921181678772
KOR,613023500.0,0.031659253,0.4035804271697998
CAN,578089860.0,0.029855125,0.4334355592727661
ESP,465566400.0,0.024043914,0.45747947692871094
SGP,377615900.0,0.01950176,0.4769812226295471
CHE,370318500.0,0.01912489,0.4961061179637909
MEX,334412930.0,0.017270567,0.5133767127990723
RUS,302385700.0,0.015616539,0.5289932489395142
IND,301720450.0,0.015582182,0.5445754528045654
MYS,293227800.0,0.015143584,0.5597189664840698
SWE,286272480.0,0.014784381,0.5745033621788025
AUT,265416370.0,0.013707278,0.5882106423377991
US.CA,254295980.0,0.013132973,0.6013436317443848
THA,247053140.0,0.01275892,0.6141025424003601
AUS,234416110.0,0.012106288,0.6262088418006897
BRA,224392420.0,0.01158862,0.637797474861145
HKG,221453280.0,0.011436829,0.6492342948913574
IDN,210032880.0,0.010847029,0.6600812673568726
IRL,202653900.0,0.010465946,0.6705471873283386
CN.GD,196018300.0,0.010123255,0.680670440196991
CN.JS,188759970.0,0.009748402,0.6904188394546509
CZE,181320900.0,0.009364216,0.6997830271720886
TWN,179355940.0,0.009262736,0.7090457677841187
DNK,173549520.0,0.008962867,0.7180086374282837
CN.SD,169608290.0,0.008759324,0.7267679572105408
US.TX,159928220.0,0.008259403,0.7350274324417114
POL,153912510.0,0.007948725,0.7429761290550232
FIN,141614770.0,0.0073136147,0.7502897381782532
HUN,124685220.0,0.0064392975,0.756729006767273
PHL,124381130.0,0.006423593,0.7631525993347168
CN.ZJ,115454510.0,0.0059625832,0.7691152095794678
TUR,112337690.0,0.0058016167,0.7749168276786804
US.NY,100512580.0,0.0051909154,0.7801077365875244
