year,id,gdp
1993,CN.AH,1037.14
1993,CN.BJ,886.21
1993,CN.CQ,608.53
1993,CN.FJ,1114.20
1993,CN.GS,372.24
1993,CN.GD,3469.28
1993,CN.GX,871.70
1993,CN.GZ,417.69
1993,CN.HA,260.41
1993,CN.HB,1690.84
1993,CN.HL,1198.30
1993,CN.HE,1660.18
1993,CN.HU,1325.83
1993,CN.HN,1244.71
1993,CN.NM,537.81
1993,CN.JS,2998.16
1993,CN.JX,723.04
1993,CN.JL,718.58
1993,CN.LN,2010.82
1993,CN.NX,104.49
1993,CN.QH,109.68
1993,CN.SA,678.20
1993,CN.SD,2770.37
1993,CN.SH,1519.23
1993,CN.SX,680.41
1993,CN.SC,1486.08
1993,CN.TJ,538.94
1993,CN.XZ,37.42
1993,CN.XJ,495.25
1993,CN.YN,783.27
1993,CN.ZJ,1925.91
1994,CN.AH,1320.43
1994,CN.BJ,1145.31
1994,CN.CQ,833.60
1994,CN.FJ,1644.39
1994,CN.GS,453.61
1994,CN.GD,4619.02
1994,CN.GX,1198.29
1994,CN.GZ,524.46
1994,CN.HA,331.98
1994,CN.HB,2187.49
1994,CN.HL,1604.90
1994,CN.HE,2216.83
1994,CN.HU,1700.92
1994,CN.HN,1650.02
1994,CN.NM,695.06
1994,CN.JS,4057.39
1994,CN.JX,948.16
1994,CN.JL,937.73
1994,CN.LN,2461.78
1994,CN.NX,136.26
1994,CN.QH,138.40
1994,CN.SA,839.03
1994,CN.SD,3844.50
1994,CN.SH,1990.86
1994,CN.SX,826.66
1994,CN.SC,2001.41
1994,CN.TJ,732.89
1994,CN.XZ,45.99
1994,CN.XJ,662.32
1994,CN.YN,983.78
1994,CN.ZJ,2689.28
1995,CN.AH,1810.66
1995,CN.BJ,1507.69
1995,CN.CQ,1123.06
1995,CN.FJ,2094.90
1995,CN.GS,557.76
1995,CN.GD,5933.05
1995,CN.GX,1497.56
1995,CN.GZ,636.21
1995,CN.HA,363.25
1995,CN.HB,2849.52
1995,CN.HL,1991.40
1995,CN.HE,2988.37
1995,CN.HU,2109.38
1995,CN.HN,2132.13
1995,CN.NM,857.06
1995,CN.JS,5155.25
1995,CN.JX,1169.73
1995,CN.JL,1137.23
1995,CN.LN,2793.37
1995,CN.NX,175.19
1995,CN.QH,167.80
1995,CN.SA,1036.85
1995,CN.SD,4953.35
1995,CN.SH,2499.43
1995,CN.SX,1076.03
1995,CN.SC,2443.21
1995,CN.TJ,931.97
1995,CN.XZ,56.11
1995,CN.XJ,814.85
1995,CN.YN,1222.15
1995,CN.ZJ,3557.55
1996,CN.AH,2093.30
1996,CN.BJ,1789.20
1996,CN.CQ,1315.12
1996,CN.FJ,2484.25
1996,CN.GS,722.52
1996,CN.GD,6834.97
1996,CN.GX,1697.90
1996,CN.GZ,723.18
1996,CN.HA,389.68
1996,CN.HB,3452.97
1996,CN.HL,2370.50
1996,CN.HE,3634.69
1996,CN.HU,2499.77
1996,CN.HN,2540.13
1996,CN.NM,1023.09
1996,CN.JS,6004.21
1996,CN.JX,1409.74
1996,CN.JL,1346.79
1996,CN.LN,3157.69
1996,CN.NX,202.90
1996,CN.QH,184.17
1996,CN.SA,1215.84
1996,CN.SD,5883.80
1996,CN.SH,2957.55
1996,CN.SX,1292.11
1996,CN.SC,2871.65
1996,CN.TJ,1121.93
1996,CN.XZ,64.98
1996,CN.XJ,900.93
1996,CN.YN,1517.69
1996,CN.ZJ,4188.53
1997,CN.AH,2347.32
1997,CN.BJ,2077.09
1997,CN.CQ,1509.75
