BEA_line_code,EORA_sector
4,AGRI
5,AGRI
5,FISH
7,MINQ
8,MINQ
9,MINQ
10,ELWA
11,CONS
14,WOOD
15,OILC
16,METL
17,METL
18,MACH
19,MACH
20,MACH
21,TREQ
22,TREQ
23,MANU
24,MANU
26,FOOD
27,TEXL
28,TEXL
29,WOOD
30,WOOD
31,OILC
32,OILC
33,OILC
34,WHOT
35,RETT
37,TRAN
38,TRAN
39,TRAN
40,TRAN
41,TRAN
42,TRAN
43,TRAN
44,TRAN
46,COMM
47,COMM
48,COMM
49,COMM
52,FINC
53,FINC
54,FINC
55,FINC
57,FINC
58,FINC
61,ADMI
62,COMM
63,ADMI
64,ADMI
66,RECY
67,RECY
69,EDHE
71,EDHE
72,EDHE
73,EDHE
74,EDHE
77,GAST
78,GAST
80,GAST
81,FOOD
82,OTHE
84,ADMI
85,ADMI
86,ADMI
