,region,sector,gdp
99,US.AL,4,2068.1
100,US.AL,5,597.4
102,US.AL,7,320.6
103,US.AL,8,1487.8
104,US.AL,9,93.0
105,US.AL,10,5995.0
106,US.AL,11,6782.9
109,US.AL,14,1267.7
110,US.AL,15,910.6
111,US.AL,16,3540.6
112,US.AL,17,2368.9
113,US.AL,18,1033.3
114,US.AL,19,1128.8
115,US.AL,20,763.6
116,US.AL,21,5841.8
117,US.AL,22,3182.5
118,US.AL,23,837.4
119,US.AL,24,527.2
121,US.AL,26,2329.7
122,US.AL,27,550.7
123,US.AL,28,182.9
124,US.AL,29,2776.2
125,US.AL,30,266.9
126,US.AL,31,1183.8
127,US.AL,32,3082.6
128,US.AL,33,1692.8
129,US.AL,34,11553.5
130,US.AL,35,13347.1
132,US.AL,37,181.5
133,US.AL,38,759.6
134,US.AL,39,170.2
135,US.AL,40,2196.8
136,US.AL,41,104.0
137,US.AL,42,126.7
138,US.AL,43,991.0
139,US.AL,44,650.7
141,US.AL,46,891.8
142,US.AL,47,119.0
143,US.AL,48,3109.8
144,US.AL,49,316.7
147,US.AL,52,7558.3
148,US.AL,53,742.1
149,US.AL,54,4592.7
150,US.AL,55,17.7
152,US.AL,57,19951.8
153,US.AL,58,1811.6
156,US.AL,61,2209.0
157,US.AL,62,2665.6
158,US.AL,63,6941.5
159,US.AL,64,1816.8
161,US.AL,66,4727.5
162,US.AL,67,455.1
164,US.AL,69,1293.1
166,US.AL,71,8827.6
167,US.AL,72,3603.1
168,US.AL,73,1558.9
169,US.AL,74,731.9
172,US.AL,77,312.1
173,US.AL,78,394.1
175,US.AL,80,962.7
176,US.AL,81,4630.9
177,US.AL,82,5166.3
179,US.AL,84,8192.0
180,US.AL,85,4090.9
181,US.AL,86,21612.9
191,US.AK,4,22.5
192,US.AK,5,436.0
194,US.AK,7,4828.0
195,US.AK,8,1237.5
196,US.AK,9,1671.6
197,US.AK,10,762.0
198,US.AK,11,2131.1
201,US.AK,14,75.7
202,US.AK,15,49.0
203,US.AK,16,2.3
204,US.AK,17,42.6
205,US.AK,18,15.5
206,US.AK,19,12.8
207,US.AK,20,1.9
208,US.AK,21,3.6
209,US.AK,22,29.2
210,US.AK,23,13.7
211,US.AK,24,9.5
213,US.AK,26,926.6
214,US.AK,27,6.7
