,value
CN.NM,0.23158596605627632
BEN,-0.004273247714796247
CN.JL,0.17616049425768113
JAM,-0.0018256635389035662
PER,0.041195350033332113
CN.GS,0.10979528656473736
US.NH,0.3905159975400703
SDN,0.0
CN.JX,0.20104839940902264
RWA,-0.0009003742229812115
PRT,0.1300744099101485
YEM,-0.012438800362728208
LUX,0.0664834672248578
AND,-5.451465225199915e-06
US.MT,0.25611988807882335
KAZ,0.0827593687529652
CAF,9.306972142049542e-05
BLZ,-0.0010837281940098134
SGP,0.5203296062248398
US.NJ,2.082524455921481
MDV,4.25218281253007e-05
GTM,0.010522196936056917
ECU,0.0351229484444861
MWI,-0.02082162812617291
LBN,-0.02164271280799515
SEN,0.010988147243066
CN.SX,0.16385467515861085
TZA,0.0032887337452616253
UZB,-0.003816413279666252
STP,1.216657655615501e-05
CN.HU,0.20966397243919202
MYS,0.7234739355561302
SLE,-0.00013639384549266281
UGA,0.0033261003307537714
US.SD,0.32831853580254006
US.WI,1.2374931576707076
US.VA,1.6684232539752117
ARE,0.06416285846916425
SYR,-0.0024843918752488923
ROU,0.05643676620830921
VNM,0.035327378545356954
CYP,0.0041812638071187175
ITA,1.021804664681026
SWZ,0.0028538270753123486
NAM,0.0016290515697361078
MKD,0.008034728631029912
CN.TJ,0.17020026891249046
KWT,0.023607350022477522
US.CA,8.129242401681935
US.AR,0.43942506419259003
ARG,0.3143180696428233
COD,0.012010593498377384
NER,-0.0006037518353410504
US.MD,1.323097531966495
US.GA,1.89554934876052
CMR,-0.0006409471578057994
US.OH,2.2067629425140227
MUS,0.0002741915987389984
MLI,0.0005396075569785185
US.AL,1.0980120515039031
CN.XZ,0.0708871101477301
LSO,-0.0006785630925915021
CRI,0.05157119111008141
EGY,0.11310082201566395
CN.CQ,0.17037232959673188
HTI,-0.0033071095225362633
MDG,0.006890815477119739
TJK,0.0009345980654541031
US.MA,1.8383411981420577
AUS,0.6480858447731507
US.HI,0.40655645592500567
US.AZ,1.2457260138511788
NOR,0.17197735906143297
AZE,-0.020752589978933738
BRB,0.001529714990573728
GMB,2.6770547746061293e-05
NLD,0.6600403526992965
GEO,-0.007443724220194771
US.VT,0.23429778174929747
IND,0.5160969531613071
CN.XJ,0.12929797734009102
TCD,0.0033191909798829366
FIN,0.2883960921700723
CN.SA,0.20539697149056937
KEN,0.004033663754734049
DNK,0.2792692526698079
CN.JS,0.5721916172672534
US.LA,0.1523904914858048
CN.HE,0.3795647375618544
PAK,0.09573636372730096
PHL,0.3762504366688252
OMN,0.014567532649630444
US.IL,2.93119984271713
ABW,-0.0013850680371920187
ESP,0.5411529875535223
PYF,0.0016094708262578761
MOZ,0.0015652968729075877
SUR,-0.004849032956239382
COG,0.016611772468715785
FRA,1.652890390672667
CN.HB,0.2198188060716162
MDA,0.0
GIN,-0.001530410203053077
LIE,0.0001242510356116932
CN.QH,0.05685769610273769
ZMB,0.019753818909766078
NGA,0.08426862084655924
BMU,0.0008630110711987438
US.AK,0.3495435518351127
CN.FJ,0.23850740703979792
US.NV,0.6435257904639571
ALB,0.0009909793886050211
CHL,0.27330011910600804
US.TN,1.2692127893265635
CIV,0.02116401997688482
BTN,-0.00558795803668297
WSM,6.936376399775088e-05
QAT,0.05332355547143998
SAU,0.17940043931691027
CN.LN,0.16166930101213195
ETH,-0.0007648628385799194
SOM,-4.1236499476200554e-07
CN.ZJ,0.533092977327528
LKA,0.040401590544749726
GRL,0.0024233260726420494
CN.AH,0.23855627731191312
US.OR,0.8400255270685034
HND,-0.005984760376027941
LAO,0.010544184479274226
BGD,0.00470256030931275
GRC,0.055544914333675866
US.MS,0.7061174472421323
SYC,0.000483108953351022
US.IA,0.8496435423805367
NIC,-0.009757990793448386
US.DC,0.4579080316597146
US.WA,1.5838615848661044
US.NY,5.027604021978686
ISR,0.30122647632756805
POL,0.19817931057191043
AGO,0.12402734600748058
BEL,0.4721634605154791
MNE,8.625725441707914e-05
BGR,0.04161825839883044
MRT,-0.003798747563256122
SVN,0.06533650987723034
NPL,-0.01769244585133825
ANT,-0.010954327620072556
BLR,-0.04856930570606888
CN.SD,0.5614922910907774
CHE,0.5959784778367856
US.NM,0.350033514048647
US.ID,0.33131622015270423
PAN,-0.007593008595342529
US.CO,1.3872580448255991
MAC,-0.00350037674803636
ATG,0.00012126803171329097
US.PA,2.564037430804366
US.MN,1.4226052335764523
HKG,0.39629652367110635
COL,0.08415634261962257
VGB,0.0007665810086468181
US.RI,0.36466268014789205
DZA,0.16914646797156865
BFA,0.002839865597260446
GHA,0.010974374433696152
KGZ,0.0007956767696830924
ZAF,0.2697773291872687
US.TX,-99.66767878718446
US.MI,1.867347994274067
SMR,0.0008185515653408084
CN.BJ,0.22236964663720477
BHS,-0.00028756685236766566
FJI,0.0016402697040332947
LBR,0.005412316368734936
CN.SC,0.29214296432210374
BRA,0.7945286548314251
CN.YN,0.11166364643461386
JPN,2.1117331580776413
NZL,0.1794136257237925
ERI,-0.00016907789493031243
IRN,0.055817367121452875
LBY,0.0241263672040379
ARM,0.007524425900305155
DEU,2.814807462029649
US.ND,0.39400013078811497
NCL,-0.013231324645143708
VUT,-0.0005649235474814724
TKM,-0.008678806861692595
CN.GD,0.5607494517333673
SLV,-0.002171984155673652
KHM,-0.009916825541926761
US.FL,3.146041932575584
AFG,-0.006601608923598933
TWN,0.1702629986799342
IRQ,0.02689341181227454
US.SC,1.1149376053871463
US.UT,0.7064386836168619
THA,0.5615229267957522
GUY,-0.02220349621111555
BRN,0.014876627943457343
KOR,0.6527198316882166
BHR,0.0058173929997549206
PSE,0.001969149707460429
EST,0.03362268105643768
SVK,0.0825579165567329
IDN,0.31357488864242333
DOM,0.020321538091508565
IRL,0.4028278387375466
BDI,0.0001171836110007609
ISL,-0.006834298242501518
CPV,5.915016263763192e-05
