,value
CN.NM,-0.15902471363272735
BEN,-0.002623913985389484
CN.JL,-0.1505524990530478
JAM,0.0013249836583779776
PER,0.9056358294170052
CN.GS,0.002567459849215143
US.NH,-0.04223285303877406
SDN,0.0
CN.JX,0.1600601735130239
RWA,0.0003811496248022579
PRT,0.055083417050425194
YEM,0.025370266164829822
LUX,-0.005618902197112916
AND,-0.00018372573270576933
US.MT,0.1099782324926156
KAZ,0.4136832645554322
CAF,0.0030882021971939634
BLZ,
SGP,0.03960037222670135
US.NJ,0.003159237547443668
MDV,-7.995950902238542e-05
GTM,0.04892472560512237
ECU,0.5753814728631813
MWI,-0.004584086415298331
LBN,-0.03149990625653876
SEN,0.009675950829092627
CN.SX,0.11550008376302906
TZA,0.014545084514188704
UZB,-0.02965760294106029
STP,
CN.HU,0.34690764911786537
MYS,1.7634060390975168
SLE,-0.0003532191903407332
UGA,0.0051330841596846305
US.SD,-0.06616287095491809
US.WI,0.17082533304583586
US.VA,0.040861754466835605
ARE,0.6684142867970935
SYR,-0.13307798233935395
ROU,-0.02877144974159234
VNM,1.318808171756947
CYP,0.00391648906544109
ITA,0.7460166440929349
SWZ,0.0014698076670354328
NAM,0.027083007387535437
MKD,-0.033761673533582816
CN.TJ,-0.12805230724388914
KWT,4.075783911066214
US.CA,1.1418152449027517
US.AR,0.12389381898691447
ARG,0.5181096347187477
COD,0.05682800487075901
NER,-0.007017805452043342
US.MD,0.01696918878577199
US.GA,0.09072902922840412
CMR,-0.1625860170078884
US.OH,0.6374791259778662
MUS,
MLI,-0.0011780442227288265
US.AL,0.3043569236555344
CN.XZ,0.5215449372966363
LSO,-9.522685864202662e-05
CRI,0.0085749029001856
EGY,0.2592316715194794
CN.CQ,0.1612659389283056
HTI,-0.001702050713894639
MDG,0.04912057759147889
TJK,-0.0009941891057068503
US.MA,0.05213829510005112
AUS,3.7517278018178777
US.HI,-0.05342485538413883
US.AZ,0.5129822407292108
NOR,4.196740317365533
AZE,-0.14106642895110638
BRB,-0.0020497063785244515
GMB,3.2764366976717596e-05
NLD,1.2514235245569143
GEO,-0.023514953021410837
US.VT,0.02730666778619919
IND,1.787090638235521
CN.XJ,0.09066974132631637
TCD,0.00030414877355962794
FIN,0.04228090126393829
CN.SA,0.19686538730645475
KEN,0.01897387244928037
DNK,0.685183218303343
CN.JS,-0.45453254610766536
US.LA,0.05924733674155455
CN.HE,0.4949131971144805
PAK,0.046075143447506205
PHL,0.061495412845478874
OMN,0.7669287537023094
US.IL,0.05280505455686395
ABW,4.386937651215006e-05
ESP,0.8938435023906205
PYF,0.0005806726886872333
MOZ,0.0026076581482035433
SUR,-0.009420342867953346
COG,0.14514816479934467
FRA,0.6859547870237711
CN.HB,0.3516913384737911
MDA,
GIN,-0.0642289635417278
LIE,3.175482065452772e-05
CN.QH,0.3950544733940947
ZMB,0.06896238454635316
NGA,1.554775398961158
BMU,0.0005305624803706117
US.AK,0.5830169470228249
CN.FJ,-0.2017883011476896
US.NV,0.3129500901664432
ALB,-0.010651564045710212
CHL,0.6438389924718756
US.TN,0.05006881691809541
CIV,-0.06406361038228947
BTN,
WSM,
QAT,1.3026509335444958
SAU,2.8875597299919566
CN.LN,0.3301681780089486
ETH,
SOM,-3.700391517872097e-05
CN.ZJ,-0.34272431070532633
LKA,0.02211255196254212
GRL,0.00011472117288769158
CN.AH,0.2589991087579754
US.OR,0.005026072249609433
HND,-0.0010526708178086226
LAO,-0.007926730291653823
BGD,-0.06636069957837797
GRC,0.23964518800703877
US.MS,0.02447268770812368
SYC,0.00020301058754281054
US.IA,0.031836777461180986
NIC,-0.0002982308548442785
US.DC,
US.WA,0.025112648298958318
US.NY,0.04627127076471013
ISR,0.20673930099141127
POL,0.5610756508271713
AGO,0.6254028411043778
BEL,0.5913096358376617
MNE,0.00043309537188475496
BGR,-0.0071565054418079276
MRT,-0.06208933506162612
SVN,0.01848488492196099
NPL,-0.013065228513039089
