,delta_t,delta_r,value
0,-0.1,-1000,0.028504550552566066
1,-0.1,0,0.027026813651964687
2,-0.1,1000,0.027785728468399107
3,0.0,-1000,0.02891401824605122
4,0.0,0,0.027564131067125963
5,0.0,1000,0.02771048830485512
6,0.1,-1000,0.02840448020240416
7,0.1,0,0.028261489114367322
8,0.1,1000,0.02815206225563749
9,0.9,-1000,0.02989825833523696
10,0.9,0,0.03057929873451215
11,0.9,1000,0.030748414131309687
12,0.9,4000,0.030334969396395017
13,0.9,5000,0.030628536560950437
14,0.9,6000,0.03033187077270405
15,0.9,9000,0.03132593870851519
16,0.9,10000,0.03135816753809806
17,0.9,11000,0.031089699198671994
18,1.0,-1000,0.03023842985514502
19,1.0,0,0.030860219654238463
20,1.0,1000,0.03063927304471914
21,1.0,4000,0.03151951351552107
22,1.0,5000,0.032852274037575846
23,1.0,6000,0.03106035546485142
24,1.0,9000,0.03059348686291763
25,1.0,10000,0.03251909332093739
26,1.0,11000,0.03073539774309797
27,1.1,-1000,0.031170610103137264
28,1.1,0,0.030671422563366413
29,1.1,1000,0.02995815323298956
30,1.1,4000,0.030064045715705312
31,1.1,5000,0.03137082928392765
32,1.1,6000,0.031049556248352594
33,1.1,9000,0.03134301697182984
34,1.1,10000,0.03131880074496163
35,1.1,11000,0.03191579972310343
36,1.9,-1000,0.032863470825117425
37,1.9,0,0.03237688583881404
38,1.9,1000,0.032455706648581995
39,1.9,9000,0.03394343614808726
40,1.9,10000,0.0337228491143815
41,1.9,11000,0.032875087363604116
42,1.9,19000,0.03467973869262231
43,1.9,20000,0.03422997623145907
44,1.9,21000,0.03479344338515045
45,2.0,-1000,0.03236741877208349
46,2.0,0,0.03198129041752651
47,2.0,1000,0.031845995496504464
48,2.0,9000,0.033035810468984295
49,2.0,10000,0.033486830131401746
50,2.0,11000,0.03309819783192669
51,2.0,19000,0.03371782011476476
52,2.0,20000,0.03343496792944656
53,2.0,21000,0.03443612788012196
54,2.1,-1000,0.03240208372110587
55,2.1,0,0.032824623209481985
56,2.1,1000,0.03262412489173361
57,2.1,9000,0.03310591331517898
58,2.1,10000,0.03483757737903215
59,2.1,11000,0.03349426200536243
60,2.1,19000,0.03541443528711774
61,2.1,20000,0.034351028093970726
62,2.1,21000,0.034141880374116695
63,2.9,-1000,0.03486819174809419
64,2.9,0,0.03646308098586015
65,2.9,1000,0.03447017032656152
66,2.9,14000,0.035332193524384437
67,2.9,15000,0.0380187200090365
68,2.9,16000,0.03533619431492774
69,2.9,29000,0.04295995170857658
70,2.9,30000,0.037505333495557736
71,2.9,31000,0.03854710922766014
72,3.0,-1000,0.037505167133167205
73,3.0,0,0.03595132717337801
74,3.0,1000,0.03495682472027806
75,3.0,14000,0.035522265742526926
76,3.0,15000,0.03666625919995781
77,3.0,16000,0.03608559659527
78,3.0,29000,0.037119005618113654
79,3.0,30000,0.03908413425941504
80,3.0,31000,0.037936044412822945
81,3.1,-1000,0.03703794359839474
82,3.1,0,0.03409511557252998
83,3.1,1000,0.03446463121536958
84,3.1,14000,0.03906310028720661
85,3.1,15000,0.03729707213568911
86,3.1,16000,0.036617555854601136
87,3.1,29000,0.03800978833843338
88,3.1,30000,0.04534186599227663
89,3.1,31000,0.039113219950492883
90,3.9,-1000,0.03635985199341718
91,3.9,0,0.037813151432430914
92,3.9,1000,0.03828864586503666
93,3.9,19000,0.03870904143403742
94,3.9,20000,0.03915016141871064
95,3.9,21000,0.044133499736154214
96,3.9,39000,0.04207712504080696
97,3.9,40000,0.04591651182979106
98,3.9,41000,0.042436033830361986
99,4.0,-1000,0.039062792003830005
100,4.0,0,0.03695094004765309
101,4.0,1000,0.039036890814858616
102,4.0,19000,0.03981446949772316
103,4.0,20000,0.039344500779003866
104,4.0,21000,0.039367325782180274
105,4.0,39000,0.04123386998904355
106,4.0,40000,0.046872752894766556
107,4.0,41000,0.046281401642978004
108,4.1,-1000,0.03932342094825625
109,4.1,0,0.03722658935827461
110,4.1,1000,0.03872254436656508
111,4.1,19000,0.04175080206509918
112,4.1,20000,0.04016419779362401
113,4.1,21000,0.04243509635699638
114,4.1,39000,0.042857609296076404
115,4.1,40000,0.04179068140619524
116,4.1,41000,0.04220119144484613
