,delta_t,delta_r,value
0,-0.1,-1000,0.06058495186980206
1,-0.1,0,0.0624205599637051
2,-0.1,1000,0.0596693170455298
3,0.0,-1000,0.06321534880266988
4,0.0,0,0.061875318469750695
5,0.0,1000,0.0614727736341969
6,0.1,-1000,0.06391667121339317
7,0.1,0,0.06231974814703278
8,0.1,1000,0.061056015599558755
9,0.9,-1000,0.06715222199882298
10,0.9,0,0.06683738567052622
11,0.9,1000,0.06779532063183602
12,0.9,4000,0.06825566240071801
13,0.9,5000,0.0692037673314827
14,0.9,6000,0.06717324155096627
15,0.9,9000,0.0705779397941031
16,0.9,10000,0.07015395357052867
17,0.9,11000,0.07184597649327884
18,1.0,-1000,0.06619684863411468
19,1.0,0,0.06956693777602219
20,1.0,1000,0.0687614612698173
21,1.0,4000,0.07082517608671957
22,1.0,5000,0.06902745113896991
23,1.0,6000,0.06834780374933569
24,1.0,9000,0.07128697651557214
25,1.0,10000,0.07083576894542087
26,1.0,11000,0.07047843591014846
27,1.1,-1000,0.06774455207665397
28,1.1,0,0.06811918515488014
29,1.1,1000,0.0683789158967274
30,1.1,4000,0.06949646920935137
31,1.1,5000,0.07026013700341949
32,1.1,6000,0.06902003651496624
33,1.1,9000,0.07184853278674463
34,1.1,10000,0.07038123812901365
35,1.1,11000,0.07343328295130735
36,1.9,-1000,0.07392981869629445
37,1.9,0,0.07333947582537359
38,1.9,1000,0.07360890354772831
39,1.9,9000,0.0789066254629267
40,1.9,10000,0.07734473250871066
41,1.9,11000,0.0758316005151416
42,1.9,19000,0.07914569932894189
43,1.9,20000,0.07768981221112359
44,1.9,21000,0.07842187926121458
45,2.0,-1000,0.07471637799441044
46,2.0,0,0.07488952184455666
47,2.0,1000,0.07396576937579447
48,2.0,9000,0.07684414292057351
49,2.0,10000,0.07695694143972087
50,2.0,11000,0.0788920057482212
51,2.0,19000,0.07919673952310191
52,2.0,20000,0.07796446695056414
53,2.0,21000,0.07829646367227827
54,2.1,-1000,0.07528642566405619
55,2.1,0,0.07548056826625071
56,2.1,1000,0.0763957674075666
57,2.1,9000,0.07903021464816806
58,2.1,10000,0.07884030607827608
59,2.1,11000,0.07735767884502476
60,2.1,19000,0.08156968211929794
61,2.1,20000,0.07894052364794124
62,2.1,21000,0.07940057150461755
63,2.9,-1000,0.08191978113216702
64,2.9,0,0.08295162699154535
65,2.9,1000,0.08365901867690706
66,2.9,14000,0.08538648759635059
67,2.9,15000,0.08602942371738198
68,2.9,16000,0.08558840514192312
69,2.9,29000,0.09095999747450456
70,2.9,30000,0.08932173909024232
71,2.9,31000,0.08923339538382535
72,3.0,-1000,0.08379871758434909
73,3.0,0,0.08332015243575075
74,3.0,1000,0.08219832072118294
75,3.0,14000,0.0859991039190211
76,3.0,15000,0.08557089874763335
77,3.0,16000,0.08650472418996191
78,3.0,29000,0.08908599972499154
79,3.0,30000,0.09111451113468227
80,3.0,31000,0.09031316778318477
81,3.1,-1000,0.08353436697676742
82,3.1,0,0.08243061474983993
83,3.1,1000,0.08325118283298849
84,3.1,14000,0.08831215389613067
85,3.1,15000,0.08671178555208492
86,3.1,16000,0.08738973528661376
87,3.1,29000,0.0905130954702571
88,3.1,30000,0.09574306055342152
89,3.1,31000,0.09222239521993192
90,3.9,-1000,0.08827306122005663
91,3.9,0,0.08903913022004772
92,3.9,1000,0.09183186548813449
93,3.9,19000,0.09715654977955346
94,3.9,20000,0.09817768569850838
95,3.9,21000,0.09766062047102952
96,3.9,39000,0.1044848335366444
97,3.9,40000,0.1028940740819273
98,3.9,41000,0.10350278552091474
99,4.0,-1000,0.09033196897016982
100,4.0,0,0.09021780306415206
101,4.0,1000,0.09082950718666272
102,4.0,19000,0.09780478327272579
103,4.0,20000,0.09735633033376434
104,4.0,21000,0.09850025053814715
105,4.0,39000,0.10241907907060366
106,4.0,40000,0.10374282461853568
