,scenario,delta_t,min,mean,max
0,A,0,0.027026813651964687,0.02803597354037457,0.02891401824605122
1,A,1,0.02989825833523696,0.03052934218385052,0.031170610103137264
2,A,2,0.031845995496504464,0.03241573331343882,0.032863470825117425
3,A,3,0.03409511557252998,0.035534716941514825,0.037505167133167205
4,A,4,0.03635985199341718,0.038087202981146935,0.03932342094825625
5,B,0,0.027026813651964687,0.02803597354037457,0.02891401824605122
6,B,1,0.030064045715705312,0.03102355011066482,0.032852274037575846
7,B,2,0.032875087363604116,0.03351110708421769,0.03483757737903215
8,B,3,0.035332193524384437,0.03665988418484448,0.03906310028720661
9,B,4,0.03870904143403742,0.04054101054039213,0.044133499736154214
10,C,0,0.027026813651964687,0.02803597354037457,0.02891401824605122
11,C,1,0.03059348686291763,0.031355488979125906,0.03251909332093739
12,C,2,0.03343496792944656,0.034355490887641144,0.03541443528711774
13,C,3,0.037119005618113654,0.03951293922259433,0.04534186599227663
14,C,4,0.04123386998904355,0.04351857526387399,0.046872752894766556
