,scenario,delta_t,min,mean,max
0,A,0,0.0596693170455298,0.06183674497173768,0.06391667121339317
1,A,1,0.06619684863411468,0.06783920323437788,0.06956693777602219
2,A,2,0.07333947582537359,0.07462362540244794,0.0763957674075666
3,A,3,0.08191978113216702,0.08300708690016645,0.08379871758434909
4,A,4,0.08827306122005663,0.09075615311898094,0.09269978171471127
5,B,0,0.0596693170455298,0.06183674497173768,0.06391667121339317
6,B,1,0.06717324155096627,0.06906774944288102,0.07082517608671957
7,B,2,0.0758316005151416,0.07777824979630704,0.07903021464816806
8,B,3,0.08538648759635059,0.08638807978301127,0.08831215389613067
9,B,4,0.09715654977955346,0.09806080396592698,0.0990855038613292
10,C,0,0.0596693170455298,0.06183674497173768,0.06391667121339317
11,C,1,0.07015395357052867,0.07120467834401308,0.07343328295130735
12,C,2,0.07768981221112359,0.07895842646878679,0.08156968211929794
13,C,3,0.08908599972499154,0.09094526242611571,0.09574306055342152
14,C,4,0.10241907907060366,0.10342465843791665,0.1044848335366444
