scenario,delta_t,gains_min,gains_mean,gains_max,losses_min,losses_mean,losses_max,sum_min,sum_mean,sum_max
A,0.0,19.200893994001074,19.61110415000029,20.53200987900256,-12.276712771000218,-12.125178658000161,-11.919353151000081,7.281540843000998,7.485925492000133,8.496438093002242
A,1.0,21.25310026800133,21.900399954000854,22.138984618001142,-14.151887830000032,-13.76850974500006,-13.543032560000348,7.121652277002553,8.13189020900078,8.280573123000902
A,2.0,22.61126501500295,22.42926262200097,23.34097793600115,-16.078011445000158,-15.734769331000127,-15.515275162000147,6.792366266002952,6.6944932910008434,7.825702774000991
A,3.0,24.213022958001783,25.093182886002246,26.616674749000595,-18.466502412000274,-17.954281525000056,-17.55829657999984,5.9008786270015054,7.138901361002173,9.058378169000752
A,4.0,25.819434148002188,26.762455236001443,27.906708969001567,-21.28958195200009,-20.600286556999883,-20.109629625000125,5.393497619001387,6.1621686790015495,7.605724844000964
A,0.25,,19.64144479000067,,,-12.527183746000278,,,7.114261044000383,
A,0.5,,20.363654193001093,,,-12.949749903000221,,,7.4139042900008665,
A,0.75,,21.32129127000021,,,-13.360002614000324,,,7.961288655999879,
A,1.25,,21.51365756200014,,,-14.314503679999946,,,7.199153882000192,
A,1.5,,22.894970183002886,,,-14.75292435299998,,,8.142045830002886,
A,1.75,,22.5359721070014,,,-15.307550311000305,,,7.2284217960010855,
A,2.25,,23.541855728001774,,,-16.36400670100014,,,7.177849027001642,
A,2.5,,23.93252926100057,,,-16.867962429000215,,,7.064566832000332,
A,2.75,,24.568153911002877,,,-17.46440885100042,,,7.103745060002474,
A,3.25,,25.475117658001672,,,-18.620417321000197,,,6.85470033700146,
A,3.5,,25.31177758700087,,,-19.320983347000126,,,5.990794240000754,
A,3.75,,27.504685698001374,,,-19.953374051999813,,,7.551311646001542,
B,0.0,19.200893994001074,19.61110415000029,20.53200987900256,-12.276712771000218,-12.125178658000161,-11.919353151000081,7.281540843000998,7.485925492000133,8.496438093002242
B,1.0,21.411655296000383,21.896001662003094,23.328994684001845,-14.433998190000315,-14.08311359499996,-13.965326873999956,7.227042174000181,7.812888067003137,9.222035938001655
B,2.0,23.350908638001453,23.864487609001166,24.750965278000333,-16.982826851000112,-16.590832737000234,-16.368569675000227,6.76506366400268,7.273654872000952,8.01666257600001
B,3.0,25.075650008002523,26.039048974001318,27.748340142001272,-19.918404792000114,-19.325757022000147,-19.0791179350004,5.731937035002247,6.71329195200117,8.361953276001172
B,4.0,27.479417274002028,27.924382616002493,31.336671082002567,-23.147602440999933,-22.916451110000043,-22.305850892000198,5.097944589001855,5.007931506002455,9.030820190002391
B,0.25,,19.650127043306057,,,-12.591290147093373,,,7.058836896212679,
B,0.5,,21.033991925001523,,,-13.060569304000165,,,7.9734226210013555,
B,0.75,,21.721977554131172,,,-13.574059269261465,,,8.147918284869712,
B,1.25,,22.084069164262388,,,-14.783131462694943,,,7.300937701567451,
B,1.5,,24.042212433003236,,,-15.236952458000008,,,8.805259975003237,
B,1.75,,24.363425793117045,,,-15.886313845114866,,,8.477111948002172,
B,2.25,,24.919975753467373,,,-17.27784597533749,,,7.642129778129888,
B,2.5,,26.182721605002293,,,-18.064550418999847,,,8.118171186002437,
B,2.75,,26.754241204436457,,,-18.63758150246432,,,8.116659701972143,
B,3.25,,26.635385269392895,,,-20.311925357558525,,,6.323459911834348,
B,3.5,,26.591314423001872,,,-21.034461946000224,,,5.556852477001631,
B,3.75,,28.792593317176188,,,-21.899264166227876,,,6.893329150948304,
C,0.0,19.200893994001074,19.61110415000029,20.53200987900256,-12.276712771000218,-12.125178658000161,-11.919353151000081,7.281540843000998,7.485925492000133,8.496438093002242
C,1.0,21.732703802001886,22.418887551001017,23.09378521700285,-14.679963171000193,-14.5311585910002,-14.172498392000382,7.246968242002079,7.887728960000813,8.678969177002816
C,2.0,23.74785075100116,25.788978626001377,25.141167027002883,-17.788913709000052,-17.37238450000018,-17.11169046200028,6.417121982001015,8.416594126001206,7.642571792002673
C,3.0,26.345863536003094,26.646851286001315,32.19100624299882,-21.19770802000021,-20.75176821800007,-19.865739757999897,5.572328145002959,5.895083068001238,12.3252664849989
C,4.0,29.268057137002533,30.239287345001284,33.27142354400132,-25.186013142000096,-24.83099761800013,-24.326115332000025,4.5820752450023985,5.408289727001159,8.468949934001131
C,0.25,,20.073994147002253,,,-12.658486545000066,,,7.415507602002184,
C,0.5,,21.78705152100107,,,-13.26659507899995,,,8.520456442001121,
C,0.75,,21.120848145003187,,,-13.848599580000087,,,7.272248565003108,
C,1.25,,22.306421590000497,,,-15.238729408000008,,,7.067692182000493,
C,1.5,,23.439730319001335,,,-15.80244637300007,,,7.637283946001274,
C,1.75,,24.144717145000868,,,-16.622161159000168,,,7.522555986000719,
C,2.25,,24.770317939002926,,,-18.2205180660002,,,6.549799873002723,
C,2.5,,25.309324637001613,,,-19.114813038999888,,,6.1945115980017365,
C,2.75,,26.474389933001326,,,-19.926073362000153,,,6.548316571001171,
C,3.25,,29.177905906002543,,,-21.350954685000044,,,7.826951221002481,
C,3.5,,28.541411300001926,,,-22.724392606000006,,,5.817018694001921,
C,3.75,,27.62942825700199,,,-23.747931345000115,,,3.8814969120018943,
