scenario,delta_t,gains_min,gains_mean,gains_max,losses_min,losses_mean,losses_max,sum_min,sum_mean,sum_max
A,0.0,1.0338635529999722,1.0895983440000299,1.1103304349999947,-0.7814116049999877,-0.7728908360000031,-0.7265604810000021,0.288763414999982,0.3167075080000269,0.3458261879999911
A,1.0,1.1304607149999941,1.1864074209999529,1.2080973149999887,-0.8875208929999852,-0.8421859679999909,-0.8274215440000019,0.30212891200000663,0.34422145299996354,0.34650630000001253
A,2.0,1.2655237940000084,1.2905133109999851,1.305979401000003,-0.9862022029999927,-0.9773918749999966,-0.9428517299999979,0.29803551000000533,0.3131214359999885,0.3307918839999879
A,3.0,1.3990864459999919,1.4013324370000253,1.429730573000042,-1.1286766009999956,-1.118817667999993,-1.0841469219999942,0.28912739799999293,0.28251476900003386,0.3321978249999799
A,4.0,1.5090147339999733,1.5830868379999803,1.5796912479999794,-1.290431768999988,-1.2612148699999992,-1.247811292000002,0.2590423309999783,0.32187196799998063,0.3185875709999671
A,0.25,,1.115223781999974,,,-0.8031094959999863,,,0.31211428599998703,
A,0.5,,1.1256305269999856,,,-0.8036345269999894,,,0.3219959999999965,
A,0.75,,1.1447525789999478,,,-0.8182869849999883,,,0.32646559399995884,
A,1.25,,1.1649357990000166,,,-0.8600538459999837,,,0.3048819530000325,
A,1.5,,1.2327656330000019,,,-0.9037653290000013,,,0.32900030400000024,
A,1.75,,1.2569222119999899,,,-0.9372302959999971,,,0.31969191599999214,
A,2.25,,1.3264140289999737,,,-0.9824568339999891,,,0.34395719499998506,
A,2.5,,1.3367771199999776,,,-1.0264902469999932,,,0.3102868729999835,
A,2.75,,1.4297918210000398,,,-1.083137584000002,,,0.34665423700003795,
A,3.25,,1.454617664999966,,,-1.1607978679999897,,,0.2938197969999755,
A,3.5,,1.497545352999981,,,-1.1971345509999867,,,0.3004108019999936,
A,3.75,,1.5391293190000006,,,-1.2220843830000003,,,0.31704493600000094,
B,0.0,1.0338635529999722,1.0895983440000299,1.1103304349999947,-0.7814116049999877,-0.7728908360000031,-0.7265604810000021,0.288763414999982,0.3167075080000269,0.3458261879999911
B,1.0,1.1487116359999698,1.1769281639999924,1.2352108889999651,-0.8733714110000091,-0.8645516669999882,-0.8426243249999914,0.30182030199997084,0.31237649700000486,0.3645742089999712
B,2.0,1.2915817799999452,1.33121628499997,1.361389408000016,-1.0264259679999943,-1.0136763710000027,-0.9866913259999853,0.29533799300000224,0.31753991399996734,0.35035481200003166
B,3.0,1.4571163249999786,1.4931164170000073,1.5062057879999933,-1.2060442780000011,-1.181749705999993,-1.1578058619999971,0.2747366100000428,0.31136671100001484,0.32943935200001384
B,4.0,1.6588910329999713,1.63235384299996,1.6890735339999556,-1.3947078060000095,-1.373138981000003,-1.3593828689999865,0.27144038899995143,0.25921486199995786,0.3125931160000062
B,0.25,,1.102236301284202,,,-0.7969430974430974,,,0.3052932038411041,
B,0.5,,1.1411688280000065,,,-0.7902115669999995,,,0.35095726100000746,
B,0.75,,1.147376450892256,,,-0.8422525021768359,,,0.3051239487154206,
B,1.25,,1.221494333650738,,,-0.893554477629397,,,0.32793985602134135,
B,1.5,,1.2616887349999986,,,-0.9341276200000038,,,0.32756111499999374,
B,1.75,,1.3088415212200446,,,-0.9618578304336479,,,0.3469836907863974,
B,2.25,,1.3545463227080912,,,-1.04698068594308,,,0.3075656367650108,
B,2.5,,1.4464797359999764,,,-1.1299618719999966,,,0.31651786399998005,
B,2.75,,1.4449250142599512,,,-1.1323634683442156,,,0.3125615459157355,
B,3.25,,1.526934445912808,,,-1.2323398569615742,,,0.29459458895123347,
B,3.5,,1.570707737999966,,,-1.2703301549999895,,,0.3003775829999769,
B,3.75,,1.6260115593467501,,,-1.3285767169795026,,,0.29743484236724693,
C,0.0,1.0338635529999722,1.0895983440000299,1.1103304349999947,-0.7814116049999877,-0.7728908360000031,-0.7265604810000021,0.288763414999982,0.3167075080000269,0.3458261879999911
C,1.0,1.2004137349999804,1.2094154279999454,1.257884062999977,-0.9039567609999867,-0.8856700010000099,-0.8554427699999946,0.3201311799999921,0.3237454269999355,0.35721668300001386
C,2.0,1.3239568730000149,1.3666676189999587,1.3957153859999971,-1.0797494219999941,-1.0551545200000045,-1.0384389629999904,0.2751139120000185,0.31151309899995516,0.32546516700000205
C,3.0,1.5193335029999566,1.50955149299999,1.632709301,-1.2848968769999918,-1.2567870689999854,-1.2314543529999924,0.26406570799997026,0.25276442400000515,0.35809502599999743
C,4.0,1.744126884999984,1.7566019159999882,1.782866844999975,-1.5251818619999944,-1.4938375879999959,-1.470145845999979,0.22734383900004848,0.2627643279999927,0.3090816849999895
C,0.25,,1.086196487999967,,,-0.7838244509999973,,,0.3023720369999698,
C,0.5,,1.1574065809999536,,,-0.8256670959999878,,,0.3317394849999653,
C,0.75,,1.1561372139999613,,,-0.8562639459999957,,,0.29987326799996566,
C,1.25,,1.2185155410000024,,,-0.9143430509999968,,,0.3041724900000055,
C,1.5,,1.3079878819999704,,,-0.9654674429999948,,,0.3425204389999758,
C,1.75,,1.3053966190000086,,,-1.0054453589999837,,,0.29995126000002514,
C,2.25,,1.3733010489999842,,,-1.1042755399999993,,,0.2690255089999852,
C,2.5,,1.402052147999985,,,-1.1497441999999927,,,0.2523079479999921,
C,2.75,,1.505152948000004,,,-1.2038437200000016,,,0.3013092280000036,
C,3.25,,1.6117166010000017,,,-1.3104562400000006,,,0.30126036100000114,
C,3.5,,1.6223522619999617,,,-1.3749925839999968,,,0.24735967799996472,
C,3.75,,1.7195496969999913,,,-1.4303791420000027,,,0.2891705549999874,
