scenario,delta_t,gains_min,gains_mean,gains_max,losses_min,losses_mean,losses_max,sum_min,sum_mean,sum_max
A,0.0,11.786421075999542,12.315237775999742,12.894484216000036,-12.23908964500022,-12.084885985000136,-11.887140894000083,-0.10071981800054408,0.23035179099960432,0.878678673999744
A,1.0,12.973696337000124,13.369089285000124,13.505266654999907,-14.12607274700001,-13.730823799000055,-13.510852328000308,-0.9099971589997785,-0.3617345139999348,-0.29506201999996884
A,2.0,13.788883507000108,13.708530486000067,14.237371938999628,-16.04213471900013,-15.701324598000104,-15.482609524000138,-2.0054213799998863,-1.9927941120000423,-1.3888169239999248
A,3.0,14.750663851000082,15.036869592000414,15.864773850000502,-18.45293101000026,-17.929566290000054,-17.542042491999833,-3.5303099450002167,-2.89269669799964,-2.010529593000106
A,4.0,15.45444222999942,15.91390523699997,17.026028203999612,-21.25033445600009,-20.573874569999848,-20.081065973000136,-5.160911620000151,-4.659969332999881,-3.7349154810004483
A,0.25,,12.308827841000413,,,-12.475652634000273,,,-0.1668247929998604,
A,0.5,,12.252750283000081,,,-12.917018815000212,,,-0.6642685320001251,
A,0.75,,12.922398625999962,,,-13.34031524900034,,,-0.41791662300037974,
A,1.25,,13.11995173899966,,,-14.28651828099996,,,-1.1665665420002984,
A,1.5,,14.105104696000247,,,-14.723764075999979,,,-0.6186593799997349,
A,1.75,,14.019135187000188,,,-15.277997484000299,,,-1.258862297000107,
A,2.25,,14.461550073999968,,,-16.342573754000135,,,-1.8810236800001632,
A,2.5,,14.699468163999875,,,-16.846600045000226,,,-2.1471318810003517,
A,2.75,,14.869653034999816,,,-17.43337002100042,,,-2.563716986000609,
A,3.25,,15.119436503000033,,,-18.5937408950002,,,-3.474304392000163,
A,3.5,,14.946250333999876,,,-19.297644021000117,,,-4.351393687000245,
A,3.75,,16.449812439999913,,,-19.93677135499981,,,-3.486958914999905,
B,0.0,11.786421075999542,12.315237775999742,12.894484216000036,-12.23908964500022,-12.084885985000136,-11.887140894000083,-0.10071981800054408,0.23035179099960432,0.878678673999744
B,1.0,13.166764926999361,13.40347155800053,14.348225359000143,-14.404395771000296,-14.05026455999997,-13.941791353999943,-0.9925895069999837,-0.6467930019994358,0.26989028499996204
B,2.0,13.952185249000168,14.557768717000073,14.719885549000141,-16.955020994000048,-16.568817381000247,-16.34746995600024,-2.767419737999547,-2.0110486640001715,-1.627584407000101
B,3.0,14.806957317000666,15.35415266499982,15.932075011000059,-19.89488621600011,-19.29592180700013,-19.04402754300043,-4.53974766799995,-3.941769142000308,-3.411351515000055
B,4.0,16.046987352000382,16.16850885100043,17.680226742000045,-23.118585534999937,-22.885405505000023,-22.270724316000162,-7.068194516000336,-6.716896653999597,-4.590497574000122
B,0.25,,12.402647422794855,,,-12.544334332696145,,,-0.14168690990129104,
B,0.5,,12.756263761000103,,,-13.00529657700017,,,-0.24903281600007196,
B,0.75,,13.222486889540336,,,-13.548122312043091,,,-0.3256354225027534,
B,1.25,,13.319266714963623,,,-14.750791831278162,,,-1.431525116314533,
B,1.5,,14.687961443000594,,,-15.203480752000008,,,-0.5155193089994148,
B,1.75,,14.69836823454078,,,-15.858394678489523,,,-1.1600264439487387,
B,2.25,,15.163414703995226,,,-17.25382259480763,,,-2.0904078908124086,
B,2.5,,15.237098262000584,,,-18.039134773999866,,,-2.802036511999279,
B,2.75,,15.430068104611946,,,-18.611209326818045,,,-3.1811412222061026,
B,3.25,,15.653208981685612,,,-20.286276581911068,,,-4.633067600225454,
B,3.5,,15.088420479000275,,,-21.018937186000233,,,-5.930516706999949,
B,3.75,,16.096248259695578,,,-21.859317602656205,,,-5.7630693429606294,
C,0.0,11.786421075999542,12.315237775999742,12.894484216000036,-12.23908964500022,-12.084885985000136,-11.887140894000083,-0.10071981800054408,0.23035179099960432,0.878678673999744
C,1.0,13.123592667999915,13.63647454000051,14.095925181000498,-14.65706057400018,-14.504344385000193,-14.141888372000366,-1.3983753570002575,-0.8678698449996878,-0.28916928899953365
C,2.0,14.100552952999529,15.200631573000061,15.417965506000234,-17.74647400000006,-17.348555409000127,-17.092347548000248,-3.3171767250002246,-2.147923836000063,-2.057038441999988
C,3.0,15.320811861000392,15.480858932999997,17.675999632999662,-21.155705883000227,-20.734791412000085,-19.8333079499999,-5.489534972999996,-5.253932479000089,-2.557848289000537
C,4.0,16.27063521700029,17.09293569699994,18.362696566000274,-25.167918360000105,-24.812268298000124,-24.295335122000097,-8.897283142999811,-7.719332601000191,-5.932638555999818
C,0.25,,12.537443513999985,,,-12.618171271000062,,,-0.0807277570000779,
C,0.5,,13.263074103999612,,,-13.233278308999989,,,0.029795794999625425,
C,0.75,,13.08286207400043,,,-13.826559855000102,,,-0.743697780999681,
C,1.25,,13.702954468999527,,,-15.210447102000023,,,-1.507492633000497,
C,1.5,,14.06669068899952,,,-15.785014442000067,,,-1.7183237530005437,
C,1.75,,14.65238886600022,,,-16.59782210800012,,,-1.9454332419999063,
C,2.25,,14.909995227000016,,,-18.168139922000204,,,-3.258144695000186,
C,2.5,,14.9372076579999,,,-19.090940930999878,,,-4.153733272999972,
C,2.75,,15.714839540999868,,,-19.894730352000156,,,-4.179890811000286,
C,3.25,,16.289216283999863,,,-21.328791702000046,,,-5.0395754180001715,
C,3.5,,16.31998741700013,,,-22.699477724000005,,,-6.37949030699988,
C,3.75,,15.391078052000127,,,-23.72513241400013,,,-8.334054361999994,
