scenario,delta_t,region_group,min,mean,max
A,0,USA,61.35548126504637,62.19233696862912,63.53758134965272
A,1,USA,59.916860523733405,61.090938941196995,62.199955868549004
A,2,USA,60.46680866382963,61.37347421486236,62.482125564832046
A,3,USA,57.65088067755083,60.54150786626528,61.22497486266316
A,4,USA,56.90965185172626,59.12125493418536,61.047046404422645
A,0,AI-MQ:50,77.65370216923407,78.55232782423263,79.11928322324826
A,1,AI-MQ:50,76.49283683505891,77.39896549774458,78.7514065635336
A,2,AI-MQ:50,76.66829992034361,77.60498566453113,78.61859792654586
A,3,AI-MQ:50,73.53505051399166,76.33721354270752,77.17560363724562
A,4,AI-MQ:50,73.18988905303763,75.5883265976828,77.45087617066848
A,0,AI-MQ:75,88.61429287431072,89.23018429261202,89.70927612956795
A,1,AI-MQ:75,88.41357921448109,89.09506168325939,90.04926600169883
A,2,AI-MQ:75,88.21505490973114,88.98895407351407,89.70671345895327
A,3,AI-MQ:75,88.2380323911287,88.8114154846625,89.38530218757012
A,4,AI-MQ:75,88.15412924867262,88.77732465542964,89.27863986370446
A,0,AI-MQ:95,97.185757106034,97.47717488616942,97.7675445467309
A,1,AI-MQ:95,96.96476554900757,97.35781771110669,97.7882951752937
A,2,AI-MQ:95,97.0424946423127,97.33405895876237,97.83984831045456
A,3,AI-MQ:95,97.06850631801139,97.4509467148504,97.74999581389895
A,4,AI-MQ:95,97.23618583789175,97.36699420263845,97.50914983409281
B,0,USA,61.35548126504637,62.19233696862912,63.53758134965272
B,1,USA,60.29523633336441,61.259097826651455,61.80030799832373
B,2,USA,59.3252422889873,60.39030957986482,61.24336742517895
B,3,USA,56.506885776756356,58.66898818821258,59.60469323187688
B,4,USA,55.608506594036996,57.524847011985976,59.55052125993243
B,0,AI-MQ:50,77.65370216923407,78.55232782423263,79.11928322324826
B,1,AI-MQ:50,76.56234299072841,77.61453932037496,79.27795929424641
B,2,AI-MQ:50,75.97266273201164,76.88358807999373,78.3380671727778
B,3,AI-MQ:50,73.81898524821547,75.3954475366998,76.68663093881088
B,4,AI-MQ:50,71.72916174530319,74.79580428365678,76.39899187983241
B,0,AI-MQ:75,88.61429287431072,89.23018429261202,89.70927612956795
B,1,AI-MQ:75,88.53374242127292,89.19805548066151,90.0096874388753
B,2,AI-MQ:75,88.14579398677151,88.6150819436478,89.25247074771853
B,3,AI-MQ:75,87.84836938915723,88.55306715178443,89.32096531874565
B,4,AI-MQ:75,87.68649301055575,88.52469020392442,89.5778618675693
B,0,AI-MQ:95,97.185757106034,97.47717488616942,97.7675445467309
B,1,AI-MQ:95,97.25563192497086,97.44496378841912,97.69500870298067
B,2,AI-MQ:95,97.07989020347497,97.27744495355971,97.60777578386612
B,3,AI-MQ:95,96.9417169721137,97.31939280199362,97.6308000117997
B,4,AI-MQ:95,96.97859215862088,97.25354508627584,97.60942369199648
C,0,USA,61.35548126504637,62.19233696862912,63.53758134965272
C,1,USA,59.067861629820854,60.82082605309923,61.901474849575585
C,2,USA,58.59061606721701,59.813235326913755,61.38317513439476
C,3,USA,53.32234635791958,57.3209917355033,58.54115289914542
C,4,USA,51.67212565752442,55.038472919210534,56.64062077461879
C,0,AI-MQ:50,77.65370216923407,78.55232782423263,79.11928322324826
C,1,AI-MQ:50,76.30294004120196,77.22432569504943,78.59654872880401
C,2,AI-MQ:50,75.74952719059954,76.70918338315465,77.4661415721489
C,3,AI-MQ:50,69.638661848229,74.18865819229887,75.76244435994037
C,4,AI-MQ:50,68.976814957592,72.49491714651775,74.09513454351966
C,0,AI-MQ:75,88.61429287431072,89.23018429261202,89.70927612956795
C,1,AI-MQ:75,88.5508376563342,88.92656612366655,89.54104098152855
C,2,AI-MQ:75,87.82703466069557,88.70292172728873,89.39138851781561
C,3,AI-MQ:75,87.72274715741278,88.38115729580397,89.68475109272994
C,4,AI-MQ:75,87.07498449413104,88.41879007507387,89.46834827479174
C,0,AI-MQ:95,97.185757106034,97.47717488616942,97.7675445467309
C,1,AI-MQ:95,97.03099753801632,97.44467109343005,97.695583712785
C,2,AI-MQ:95,97.0004996642553,97.38039827660603,97.65356531348527
C,3,AI-MQ:95,96.53644094573353,97.2655565482346,97.77777282487392
C,4,AI-MQ:95,96.95419245374094,97.2677649746457,97.51346036167413
