scenario,delta_t,min,mean,max
A,0,15.840063313298089,17.840501645426635,19.45468577567482
A,1,14.030900714589272,16.543244590856933,19.086541136328535
A,2,14.28252718783056,15.9288046217484,19.04348629776777
A,3,10.31840988135338,13.566884071500972,16.4485912554747
A,4,10.955169842281402,12.75089166062641,13.941076340580866
B,0,15.840063313298089,17.840501645426635,19.45468577567482
B,1,15.43177008203106,17.084992295617695,18.726380039143574
B,2,11.96101394512326,14.765111324792182,18.182837841597888
B,3,10.509852558439894,12.405401243864144,14.032843962626995
B,4,10.56419960961039,11.8034126176583,13.03189267369717
C,0,15.840063313298089,17.840501645426635,19.45468577567482
C,1,13.497754438394468,15.888889273136758,18.378844543499145
C,2,12.533570527102494,14.190466319186562,15.781691929970743
C,3,11.141185785098873,12.758611869124902,15.807037379492428
C,4,10.244086957348783,11.874747162255362,13.534129843046285
