scenario,delta_t,min,mean,max
A,0,160.81331196205426,164.65306000067716,170.59438674018992
A,1,150.3229842021899,156.882732608974,160.58684033024707
A,2,142.93830040749413,145.9859194541348,150.43869794309316
A,3,132.22385385534565,140.28617445476348,151.59030164303582
A,4,125.62936109750287,131.52373062421714,137.82130743246307
B,0,160.81331196205426,164.65306000067716,170.59438674018992
B,1,150.94987160975927,155.492902773154,165.37224715863312
B,2,140.0444402140386,143.27259417040122,147.90556689907214
B,3,129.63204139248143,134.04577768325495,143.13311879000204
B,4,122.37207778095538,126.70286210651345,140.4863290520839
C,0,160.81331196205426,164.65306000067716,170.59438674018992
C,1,149.71022172463836,154.08338279023883,160.20867108480144
C,2,136.36279491720137,140.13715533881745,143.8539195333486
C,3,126.8241685400219,136.168703935693,162.04282667115646
C,4,118.56144618856462,124.91953487223074,134.14558590876396
