scenario,delta_t,min,mean,max
A,0,136.95407300739873,142.7147670542239,146.9000254919898
A,1,134.96217185262157,137.3112270587203,140.21702802924682
A,2,130.80507691191895,132.8254462522423,134.95241749198485
A,3,125.92150311521833,128.28390617043598,130.45301773092987
A,4,120.72384401273686,122.57606487912014,125.53171084782642
B,0,136.95407300739873,142.7147670542239,146.9000254919898
B,1,135.63861027771136,137.78438244181496,141.87443710733316
B,2,128.77343346792682,131.77458239815508,134.6530982605502
B,3,122.81749435240894,124.95754455686857,127.99530492387525
B,4,119.46216890966113,121.34974773537316,122.94092472442063
C,0,136.95407300739873,142.7147670542239,146.9000254919898
C,1,136.3668663182807,138.86411099474182,141.34318710765314
C,2,125.64396167836038,127.67382285304842,130.41019391746588
C,3,121.0366034285117,123.24705955483205,128.09438376955237
C,4,114.90601512280823,117.93381636616346,120.97196344411509
