parameter,param_val,region,gains,losses,sum
initial_storage_fill_factor,2.0,global,33.2424824800013,-26.557676178000168,6.684806302001132
initial_storage_fill_factor,2.0,USA,17.23102378199969,-26.526576385000208,-9.29555260300052
initial_storage_fill_factor,3.0,global,31.36575601200134,-26.519907022999853,4.845848989001489
initial_storage_fill_factor,3.0,USA,16.504640436000034,-26.495889227999864,-9.99124879199983
initial_storage_fill_factor,4.0,global,33.05723553800011,-26.466642400999913,6.5905931370001944
initial_storage_fill_factor,4.0,USA,17.121264234000364,-26.442735545999913,-9.321471311999549
initial_storage_fill_factor,5.0,global,32.00736934699957,-26.322935340000175,5.684434006999393
initial_storage_fill_factor,5.0,USA,16.707162965999455,-26.30255102300018,-9.595388057000726
initial_storage_fill_factor,6.0,global,30.596368086001707,-26.50599779000021,4.090370296001495
initial_storage_fill_factor,6.0,USA,16.365052168999505,-26.48985479300022,-10.124802624000715
initial_storage_fill_factor,7.0,global,33.81435842100121,-26.38956115899986,7.4247972620013485
initial_storage_fill_factor,7.0,USA,17.28454581899981,-26.36002392499986,-9.075478106000052
initial_storage_fill_factor,8.0,global,33.74135903500107,-25.668918175000044,8.072440860001024
initial_storage_fill_factor,8.0,USA,17.86293163500034,-25.657509676000057,-7.794578040999717
initial_storage_fill_factor,9.0,global,34.65374962100204,-26.28336510900026,8.370384512001781
initial_storage_fill_factor,9.0,USA,17.954353575000543,-26.256515714000283,-8.30216213899974
initial_storage_fill_factor,10.0,global,30.795575306000494,-26.25785411199999,4.537721194000504
initial_storage_fill_factor,10.0,USA,16.530242374000192,-26.24176521599999,-9.711522841999798
initial_storage_fill_factor,11.0,global,34.29689127800107,-26.38065493099998,7.916236347001089
initial_storage_fill_factor,11.0,USA,18.209672483999885,-26.356421724000008,-8.146749240000123
initial_storage_fill_factor,12.0,global,33.43604765300041,-26.365391587999966,7.070656065000442
initial_storage_fill_factor,12.0,USA,18.053116465000258,-26.325094724000007,-8.271978258999749
initial_storage_fill_factor,13.0,global,31.95477947200147,-26.14541125500012,5.809368217001349
initial_storage_fill_factor,13.0,USA,17.245448073000144,-26.133513338000117,-8.888065264999973
initial_storage_fill_factor,14.0,global,33.848091225001426,-26.002347601000118,7.845743624001308
initial_storage_fill_factor,14.0,USA,18.306058217000253,-25.969212960000128,-7.663154742999875
initial_storage_fill_factor,15.0,global,34.8178672610016,-26.141810448000072,8.67605681300153
initial_storage_fill_factor,15.0,USA,18.830652133000097,-26.117838738000064,-7.287186604999967
initial_storage_fill_factor,16.0,global,33.74335483900111,-25.93164693100026,7.811707908000848
initial_storage_fill_factor,16.0,USA,18.002838557000693,-25.915387465000244,-7.91254890799955
initial_storage_fill_factor,17.0,global,32.167153376000066,-26.202160744999972,5.964992631000094
initial_storage_fill_factor,17.0,USA,17.661147725999854,-26.179463794999986,-8.518316069000132
