parameter,param_value,region_group,value
initial_storage_fill_factor,2.0,USA,56.64348105849323
initial_storage_fill_factor,2.0,AI:50,17.88746664469756
initial_storage_fill_factor,2.0,AI:75,13.202161335243304
initial_storage_fill_factor,2.0,AI:95,10.195047175794613
initial_storage_fill_factor,3.0,USA,56.891801294838096
initial_storage_fill_factor,3.0,AI:50,18.171410533027206
initial_storage_fill_factor,3.0,AI:75,13.121246086638138
initial_storage_fill_factor,3.0,AI:95,9.417204996314524
initial_storage_fill_factor,4.0,USA,58.18401625125138
initial_storage_fill_factor,4.0,AI:50,16.970751734303803
initial_storage_fill_factor,4.0,AI:75,13.184015202650386
initial_storage_fill_factor,4.0,AI:95,9.491558445241495
initial_storage_fill_factor,5.0,USA,60.25036735708126
initial_storage_fill_factor,5.0,AI:50,17.096673866174314
initial_storage_fill_factor,5.0,AI:75,11.327508673537665
initial_storage_fill_factor,5.0,AI:95,8.970097362926452
initial_storage_fill_factor,6.0,USA,59.16093232239693
initial_storage_fill_factor,6.0,AI:50,17.066295453079732
initial_storage_fill_factor,6.0,AI:75,11.506834192232247
initial_storage_fill_factor,6.0,AI:95,9.567528503376465
initial_storage_fill_factor,7.0,USA,58.64258151911624
initial_storage_fill_factor,7.0,AI:50,16.609396332543078
initial_storage_fill_factor,7.0,AI:75,13.451208562379065
initial_storage_fill_factor,7.0,AI:95,9.02122999027668
initial_storage_fill_factor,8.0,USA,59.265233790894825
initial_storage_fill_factor,8.0,AI:50,16.77366377915962
initial_storage_fill_factor,8.0,AI:75,12.195045459062598
initial_storage_fill_factor,8.0,AI:95,9.41457567579431
initial_storage_fill_factor,9.0,USA,59.562592381945144
initial_storage_fill_factor,9.0,AI:50,16.476181005584912
initial_storage_fill_factor,9.0,AI:75,12.132827427876734
initial_storage_fill_factor,9.0,AI:95,9.384847917293143
initial_storage_fill_factor,10.0,USA,60.030332995387994
initial_storage_fill_factor,10.0,AI:50,16.559799518838574
initial_storage_fill_factor,10.0,AI:75,11.575709489561191
initial_storage_fill_factor,10.0,AI:95,9.23503441651279
initial_storage_fill_factor,11.0,USA,59.750668309018764
initial_storage_fill_factor,11.0,AI:50,15.753737775536848
initial_storage_fill_factor,11.0,AI:75,12.089748469383139
initial_storage_fill_factor,11.0,AI:95,10.094403507168806
initial_storage_fill_factor,12.0,USA,60.38407115741911
initial_storage_fill_factor,12.0,AI:50,16.456722411289967
initial_storage_fill_factor,12.0,AI:75,12.135788308341006
initial_storage_fill_factor,12.0,AI:95,8.764958179210865
initial_storage_fill_factor,13.0,USA,60.23028998891127
initial_storage_fill_factor,13.0,AI:50,16.87135559595022
initial_storage_fill_factor,13.0,AI:75,11.709684841107162
initial_storage_fill_factor,13.0,AI:95,8.906997406285583
initial_storage_fill_factor,14.0,USA,60.020684004151015
initial_storage_fill_factor,14.0,AI:50,16.907369546487224
initial_storage_fill_factor,14.0,AI:75,11.577737356819782
