scenario,delta_t,region_group,min,mean,max
A,0,USA,0.11060392500000242,0.12838969600000066,0.1444084850000008
A,1,USA,0.11671743599999886,0.13546009766666647,0.16091804799999895
A,2,USA,0.1333065539999996,0.14606359877777786,0.15872457499999884
A,3,USA,0.11116424700000116,0.146547974555555,0.17790378899999998
A,4,USA,0.1350871800000007,0.15862860144444438,0.17188955899999994
A,0,AI-MQ:50,0.23494566299998373,0.25974784411110874,0.2834445150000048
A,1,AI-MQ:50,0.23787016299999633,0.27723801755555105,0.30567749999998206
A,2,AI-MQ:50,0.31041223499999115,0.3221594124444358,0.3476142890000099
A,3,AI-MQ:50,0.3029802389999944,0.33850679444444204,0.3793129909999942
A,4,AI-MQ:50,0.35140565899998183,0.39238563411110317,0.42685501699999867
A,0,AI-MQ:75,0.49400030199997486,0.5202648032222178,0.550070968000011
A,1,AI-MQ:75,0.5310383279999983,0.5629171081111084,0.5794641299999733
A,2,AI-MQ:75,0.6128292319999982,0.6281219931111051,0.6508639620000183
A,3,AI-MQ:75,0.6617760210000031,0.6900471205555623,0.723008146000006
A,4,AI-MQ:75,0.7107616050000061,0.7689519564444409,0.8052212399999984
A,0,AI-MQ:95,0.7481009309999636,0.7804346704444322,0.8036422269999953
A,1,AI-MQ:95,0.8357632749999936,0.8516634859999918,0.874575544999947
A,2,AI-MQ:95,0.9286870379999894,0.9450146369999843,0.9701991019999642
A,3,AI-MQ:95,1.0343200539999837,1.0478741625555579,1.067423405000001
A,4,AI-MQ:95,1.1129171069999897,1.1550307772222086,1.1902796669999804
B,0,USA,0.11060392500000242,0.12838969600000066,0.1444084850000008
B,1,USA,0.12820665699999825,0.141491316222222,0.15510025000000116
B,2,USA,0.12005778800000177,0.14650383055555585,0.18102617199999846
B,3,USA,0.12479683900000188,0.14440301022222302,0.16452800399999984
B,4,USA,0.1415677219999989,0.16098583288888774,0.17887540600000118
B,0,AI-MQ:50,0.23494566299998373,0.25974784411110874,0.2834445150000048
B,1,AI-MQ:50,0.27990284500000334,0.29587039677777116,0.31564479099996784
B,2,AI-MQ:50,0.29739834699999135,0.32711352744443994,0.3636007279999871
B,3,AI-MQ:50,0.35077162000000284,0.38054793799999487,0.3940277470000142
B,4,AI-MQ:50,0.427570435999991,0.46189225277777,0.49170427999999244
B,0,AI-MQ:75,0.49400030199997486,0.5202648032222178,0.550070968000011
B,1,AI-MQ:75,0.5672740569999932,0.5833576833333215,0.5978077589999907
B,2,AI-MQ:75,0.632417142999976,0.6474039764444426,0.6671505680000008
B,3,AI-MQ:75,0.7004348400000125,0.7309644917777791,0.7635328400000128
B,4,AI-MQ:75,0.8162993570000029,0.848453880777765,0.8785742429999784
B,0,AI-MQ:95,0.7481009309999636,0.7804346704444322,0.8036422269999953
B,1,AI-MQ:95,0.8523108939999882,0.8728018856666402,0.8905766339999845
B,2,AI-MQ:95,0.9607475469999539,0.9800778144444311,1.0036705729999946
B,3,AI-MQ:95,1.0748872379999732,1.1045617948888822,1.1385918200000054
B,4,AI-MQ:95,1.239835951999979,1.2526992915555328,1.2810600029999462
C,0,USA,0.11060392500000242,0.12838969600000066,0.1444084850000008
C,1,USA,0.11300052600000376,0.13602088311111105,0.15435385399999796
C,2,USA,0.13199259200000218,0.14710062200000065,0.16518708499999885
C,3,USA,0.1401879939999988,0.15868738333333335,0.19953952499999794
C,4,USA,0.1533687999999975,0.17547286244444468,0.20169094200000331
C,0,AI-MQ:50,0.23494566299998373,0.25974784411110874,0.2834445150000048
C,1,AI-MQ:50,0.2662181950000019,0.2954710434444363,0.3225348009999869
C,2,AI-MQ:50,0.3323280150000013,0.3607010189999993,0.38957913300000463
C,3,AI-MQ:50,0.3768663789999946,0.4154625383333244,0.47897493599997754
C,4,AI-MQ:50,0.4832956609999924,0.5136490987777755,0.5499516179999981
C,0,AI-MQ:75,0.49400030199997486,0.5202648032222178,0.550070968000011
C,1,AI-MQ:75,0.557740579999991,0.5871378136666653,0.6107965230000112
C,2,AI-MQ:75,0.6509312090000053,0.6772740056666712,0.7257130680000191
C,3,AI-MQ:75,0.7445786380000051,0.7754130695555491,0.841626819000004
C,4,AI-MQ:75,0.8855883339999989,0.9118594033333365,0.9386084399999799
C,0,AI-MQ:95,0.7481009309999636,0.7804346704444322,0.8036422269999953
C,1,AI-MQ:95,0.8686094649999915,0.8944898456666593,0.9407911699999818
C,2,AI-MQ:95,0.9907298979999872,1.00817335633333,1.0543335919999997
C,3,AI-MQ:95,1.1258220690000087,1.1604394807777583,1.2293857649999973
C,4,AI-MQ:95,1.3082371589999837,1.3322530332222167,1.3601695899999766
