scenario,delta_t,region_group,min,mean,max
A,0,MQ:50,5.412382456972743,5.85250288535339,6.243987401839755
A,1,MQ:50,5.538664186512508,6.039968885626592,6.520522235214124
A,2,MQ:50,5.64291374238695,6.072062940625461,6.706564156228466
A,3,MQ:50,5.680604263990397,6.6167516623176645,8.67744514425563
A,4,MQ:50,5.92903441875854,6.9331629774668135,8.324075918485855
A,0,MQ:50+USA,67.16180712524064,68.04483985398251,69.38738122162026
A,1,MQ:50+USA,66.08581761353165,67.13090782682359,68.3600227487483
A,2,MQ:50+USA,66.70567082213364,67.4455371554878,68.125039307219
A,3,MQ:50+USA,66.32832582180647,67.15825952858296,67.82124394711288
A,4,MQ:50+USA,65.01140832369457,66.05441791165217,67.68534059219145
A,0,MQ:75,77.55029765472672,78.55720879766642,79.58624920148893
A,1,MQ:75,76.36723382872616,77.37509277724553,78.53336469317084
A,2,MQ:75,76.72471023015018,77.55385288537967,78.62281714498471
A,3,MQ:75,76.32628854125106,76.79726935055182,77.8886151949227
A,4,MQ:75,74.62420370658214,75.74467402923135,76.9353376023416
A,0,MQ:95,91.65152725009497,92.56614637678993,93.31547214133049
A,1,MQ:95,91.83045208624068,92.5581213388784,93.38172207448484
A,2,MQ:95,92.23531692124907,92.6368678507157,92.87390637105433
A,3,MQ:95,91.60782659927737,92.2421636741696,92.84350070526838
A,4,MQ:95,91.75856415536576,92.0993837637404,92.48680632419054
B,0,MQ:50,5.412382456972743,5.85250288535339,6.243987401839755
B,1,MQ:50,5.70693401070558,6.045901641894317,7.08599316787247
B,2,MQ:50,5.164400591686336,6.123150757443544,7.194748648415208
B,3,MQ:50,5.876857935700265,6.741183094979757,8.211907182861324
B,4,MQ:50,6.087655404999202,7.147479198960621,9.170984011504766
B,0,MQ:50+USA,67.16180712524064,68.04483985398251,69.38738122162026
B,1,MQ:50+USA,66.67363795189316,67.30499946854577,68.66537897082593
B,2,MQ:50+USA,65.37919638461574,66.51346033730839,67.25288414351236
B,3,MQ:50+USA,63.590181351417506,65.41017128319233,66.04529315984249
B,4,MQ:50+USA,63.868968577491714,64.6723262109466,65.65454423521702
B,0,MQ:75,77.55029765472672,78.55720879766642,79.58624920148893
B,1,MQ:75,76.94323573524883,77.80921331419118,79.18105846795761
B,2,MQ:75,75.2479735204638,76.88693876233063,77.7357352373684
B,3,MQ:75,74.18980224722957,75.87088747443075,77.13450264431549
B,4,MQ:75,74.05209455907334,75.19505611301798,75.91209559651773
B,0,MQ:95,91.65152725009497,92.56614637678993,93.31547214133049
B,1,MQ:95,91.94716282044247,92.61180874602617,93.01809218332893
B,2,MQ:95,91.63942839126807,92.05174052407354,92.61183250642398
B,3,MQ:95,91.15920824844017,91.93445450160955,92.44761718820266
B,4,MQ:95,91.09018198641388,91.91277767621293,92.39004717781928
C,0,MQ:50,5.412382456972743,5.85250288535339,6.243987401839755
C,1,MQ:50,5.457354398909167,6.225672690293732,6.897423444931228
C,2,MQ:50,5.651255178693358,6.156138368384622,6.926838823395889
C,3,MQ:50,5.821140113189341,7.602491367739682,11.166510770735242
C,4,MQ:50,6.9042910988615525,8.442462005332962,10.482574557154198
C,0,MQ:50+USA,67.16180712524064,68.04483985398251,69.38738122162026
C,1,MQ:50+USA,65.96528507475207,67.04649874339297,67.98654653833233
C,2,MQ:50+USA,65.12970719823741,65.96937369529837,67.78229791454224
C,3,MQ:50+USA,64.01645823719775,64.92348310324297,66.65154591764188
C,4,MQ:50+USA,62.154700214678606,63.480934924543504,65.70048942032452
C,0,MQ:75,77.55029765472672,78.55720879766642,79.58624920148893
C,1,MQ:75,76.47806342497616,77.46295957192316,78.1397837663764
C,2,MQ:75,75.31159200981793,76.37255757842941,77.6507828020091
C,3,MQ:75,73.88905228690133,74.99742363714682,75.97627019375972
C,4,MQ:75,72.77038080598479,74.27393847598344,75.18598726217698
C,0,MQ:95,91.65152725009497,92.56614637678993,93.31547214133049
C,1,MQ:95,92.09293951785618,92.31656080693396,92.68966951733569
C,2,MQ:95,91.17446193048121,91.92944867950041,92.58309339928348
C,3,MQ:95,91.28580601180914,91.90723393008842,92.74346334165347
C,4,MQ:95,91.56477809905688,92.10806107780397,93.1086538685702
