scenario,delta_t,region_group,min,mean,max
A,0,MQ:50,1.0903670610000789,1.1638973004441362,1.280465460999757
A,1,MQ:50,1.2122758309996426,1.3079294808884627,1.4245467589997947
A,2,MQ:50,1.277707001999855,1.3965927647773821,1.563186917999536
A,3,MQ:50,1.3999838669998943,1.6722088926662968,2.3082369109995664
A,4,MQ:50,1.558129279999882,1.8763257957775528,2.3046694869995417
A,0,MQ:50+USA,12.88225139599926,13.531485688444313,14.169881642999847
A,1,MQ:50+USA,14.230801070999947,14.534906247221958,14.929813413999703
A,2,MQ:50+USA,15.066590508999962,15.506087933555186,15.676965282999344
A,3,MQ:50+USA,16.150647717999977,16.92416980766643,17.66802208800018
A,4,MQ:50+USA,17.115259221999548,17.843715987110865,18.877449209999504
A,0,MQ:75,15.075443152999602,15.620983429555602,16.320891878000843
A,1,MQ:75,16.431224154000326,16.753183920666636,17.12672506300003
A,2,MQ:75,17.439816067000457,17.829941170111127,18.09366210399902
A,3,MQ:75,18.457110454999867,19.353041365999875,20.345114960999712
A,4,MQ:75,19.68840338300012,20.460082902222133,21.45727443100019
A,0,MQ:95,17.768104091000687,18.406627337556994,19.084164388002346
A,1,MQ:95,19.669045452001047,20.04133972833453,20.468022105000777
A,2,MQ:95,20.917639213002733,21.297926973446184,21.61602816600255
A,3,MQ:95,22.233286622001643,23.24868640166783,24.696761744000433
A,4,MQ:95,23.703544007002115,24.88001536977944,25.78339891000142
B,0,MQ:50,1.0903670610000789,1.1638973004441362,1.280465460999757
B,1,MQ:50,1.2324190669998825,1.3320722902218665,1.6510626979993879
B,2,MQ:50,1.2432919629990757,1.4546220158885683,1.6893459669996798
B,3,MQ:50,1.4726962889996469,1.7573611535552442,2.275140073999554
B,4,MQ:50,1.6713210279993116,2.067290088444117,2.8706596419995427
B,0,MQ:50+USA,12.88225139599926,13.531485688444313,14.169881642999847
B,1,MQ:50+USA,14.335616317000165,14.811169051888587,15.99928805699953
B,2,MQ:50+USA,15.58007705499924,15.806822470444144,16.154180231000105
B,3,MQ:50+USA,16.4091830120002,17.005248327110973,18.207215084999614
B,4,MQ:50+USA,17.84065436700064,18.597608779666565,20.550886383999586
B,0,MQ:75,15.075443152999602,15.620983429555602,16.320891878000843
B,1,MQ:75,16.65360163599965,17.121194711555447,18.188867162000115
B,2,MQ:75,18.034504521999803,18.27186796611102,18.592601217000105
B,3,MQ:75,19.096708611000373,19.724024422889208,21.091671160000168
B,4,MQ:75,20.767966905001074,21.619933102000225,23.56342069599998
B,0,MQ:95,17.768104091000687,18.406627337556994,19.084164388002346
B,1,MQ:95,19.789094968000395,20.37828563222358,21.673560587001525
B,2,MQ:95,21.504221713001073,21.878117225556803,22.726985135000007
B,3,MQ:95,22.96402244100226,23.90492307400215,25.602013035001022
B,4,MQ:95,25.228058648001987,26.429540947779802,28.903451507002487
C,0,MQ:50,1.0903670610000789,1.1638973004441362,1.280465460999757
C,1,MQ:50,1.2353365419996083,1.3848013344439798,1.5845351839996875
C,2,MQ:50,1.3479597320000232,1.5001375854440198,1.6773354209995568
C,3,MQ:50,1.5325045959995092,2.1571335274440218,3.5909906779990495
C,4,MQ:50,2.0464255329999625,2.6218674338885943,3.440898505999744
C,0,MQ:50+USA,12.88225139599926,13.531485688444313,14.169881642999847
C,1,MQ:50+USA,14.555886558999337,14.911471641555316,15.680460365000185
C,2,MQ:50+USA,15.448512684999551,16.076450992555152,17.025270016999553
C,3,MQ:50+USA,16.853316456999902,18.19919605733288,20.73869712199848
C,4,MQ:50+USA,18.728420865999645,19.600071720222083,21.547272036999598
C,0,MQ:75,15.075443152999602,15.620983429555602,16.320891878000843
C,1,MQ:75,16.773640235999558,17.227403013111257,17.941443575000182
C,2,MQ:75,17.930968962999014,18.61097489522203,19.503994182999783
C,3,MQ:75,19.627404777000145,21.013467982110782,23.76166587899834
C,4,MQ:75,21.85631382700058,22.923655147333463,24.81744981699908
C,0,MQ:95,17.768104091000687,18.406627337556994,19.084164388002346
C,1,MQ:95,20.044903658001527,20.53000519589056,21.272142676002293
C,2,MQ:95,21.802149712000833,22.400666277001378,23.254628607002655
C,3,MQ:95,24.032391343002676,25.7648943425564,29.793329922998836
C,4,MQ:95,26.879883669002325,28.435101754779524,30.953367804001108
