delta_r,TX,LA
0,0.35004151468608957,0.06727071663329408
10000,0.3567897793819021,0.07852444984305314
20000,0.42073424390977887,0.07852444984305314
30000,0.43553162566777415,0.07852444984305314
40000,0.4396519381787323,0.08122168229021842
50000,0.5052195559074938,0.09930607486458011
60000,0.5072579375781421,0.13378404649954834
70000,0.5189331980411321,0.13956264867484525
80000,0.5217654828917847,0.2023124378865386
90000,0.5237717087558027,0.2023124378865386
100000,0.5271795930650315,0.21412200775035153
